--Timestamp---	Temp	Chill	HIndex	Humid	Dewpt	 Wind 	HiWind	WindDir	Rain 	Barom	Solar	 ET  	 UV 
20120903 00:00	62.3	62.3	62.3	91	59.6	0	1	112	0.00	30.198	0	0.000	-100000.0
20120903 00:05	61.8	61.8	61.8	91	59.1	0	1	112	0.00	30.198	0	0.000	-100000.0
20120903 00:10	61.5	61.5	61.5	91	58.8	0	0	-100000	0.00	30.198	0	0.000	-100000.0
20120903 00:15	61.3	61.3	61.3	91	58.6	0	0	-100000	0.00	30.198	0	0.000	-100000.0
20120903 00:20	61.1	61.1	61.1	92	58.8	0	0	-100000	0.00	30.198	0	0.000	-100000.0
20120903 00:25	60.9	60.9	60.9	92	58.6	0	1	112	0.00	30.198	0	0.000	-100000.0
20120903 00:30	60.9	60.9	60.9	93	58.9	0	2	112	0.00	30.198	0	0.000	-100000.0
20120903 00:35	60.6	60.6	60.6	93	58.6	0	1	112	0.00	30.198	0	0.000	-100000.0
20120903 00:40	60.4	60.4	60.4	93	58.4	0	0	-100000	0.00	30.198	0	0.000	-100000.0
20120903 00:45	60.3	60.3	60.3	93	58.3	1	3	112	0.00	30.199	0	0.000	-100000.0
20120903 00:50	60.6	60.6	60.6	94	58.9	0	2	112	0.00	30.199	0	0.000	-100000.0
20120903 00:55	60.7	60.7	60.7	94	59.0	0	1	112	0.00	30.199	0	0.000	-100000.0
20120903 01:00	60.7	60.7	60.7	94	59.0	0	0	-100000	0.00	30.201	0	0.000	-100000.0
20120903 01:05	60.5	60.5	60.5	93	58.5	0	0	-100000	0.00	30.201	0	0.000	-100000.0
20120903 01:10	60.4	60.4	60.4	94	58.7	0	0	-100000	0.00	30.201	0	0.000	-100000.0
20120903 01:15	60.5	60.5	60.5	94	58.8	0	1	112	0.00	30.200	0	0.000	-100000.0
20120903 01:20	60.4	60.4	60.4	94	58.7	0	0	-100000	0.00	30.200	0	0.000	-100000.0
20120903 01:25	60.2	60.2	60.2	94	58.5	0	1	112	0.00	30.200	0	0.000	-100000.0
20120903 01:30	59.9	59.9	59.9	94	58.2	0	0	-100000	0.00	30.199	0	0.000	-100000.0
20120903 01:35	59.9	59.9	59.9	94	58.2	0	1	112	0.00	30.199	0	0.000	-100000.0
20120903 01:40	59.8	59.8	59.8	94	58.1	0	0	-100000	0.00	30.199	0	0.000	-100000.0
20120903 01:45	59.5	59.5	59.5	94	57.8	0	1	112	0.00	30.200	0	0.000	-100000.0
20120903 01:50	59.7	59.7	59.7	95	58.3	0	1	112	0.00	30.200	0	0.000	-100000.0
20120903 01:55	59.7	59.7	59.7	95	58.3	0	1	112	0.00	30.200	0	0.000	-100000.0
20120903 02:00	59.6	59.6	59.6	95	58.2	0	0	-100000	0.00	30.201	0	0.000	-100000.0
20120903 02:05	59.0	59.0	59.0	94	57.3	0	0	-100000	0.00	30.201	0	0.000	-100000.0
20120903 02:10	59.0	59.0	59.0	94	57.3	0	1	112	0.00	30.201	0	0.000	-100000.0
20120903 02:15	58.7	58.7	58.7	94	57.0	0	0	-100000	0.00	30.204	0	0.000	-100000.0
20120903 02:20	58.8	58.8	58.8	95	57.4	0	0	-100000	0.00	30.204	0	0.000	-100000.0
20120903 02:25	58.6	58.6	58.6	95	57.2	0	0	-100000	0.00	30.204	0	0.000	-100000.0
20120903 02:30	58.4	58.4	58.4	95	57.0	0	0	-100000	0.00	30.213	0	0.000	-100000.0
20120903 02:35	58.5	58.5	58.5	95	57.1	0	1	112	0.00	30.213	0	0.000	-100000.0
20120903 02:40	58.5	58.5	58.5	95	57.1	0	1	112	0.00	30.213	0	0.000	-100000.0
20120903 02:45	58.4	58.4	58.4	95	57.0	0	0	-100000	0.00	30.212	0	0.000	-100000.0
20120903 02:50	58.2	58.2	58.2	95	56.8	0	0	-100000	0.00	30.212	0	0.000	-100000.0
20120903 02:55	58.1	58.1	58.1	95	56.7	0	2	112	0.00	30.212	0	0.000	-100000.0
20120903 03:00	58.2	58.2	58.2	95	56.8	0	2	112	0.00	30.204	0	0.000	-100000.0
20120903 03:05	58.0	58.0	58.0	96	56.9	0	2	112	0.00	30.204	0	0.000	-100000.0
20120903 03:10	58.0	58.0	58.0	96	56.9	0	1	112	0.00	30.204	0	0.000	-100000.0
20120903 03:15	57.7	57.7	57.7	95	56.3	0	0	-100000	0.00	30.201	0	0.000	-100000.0
20120903 03:20	57.6	57.6	57.6	95	56.2	0	0	-100000	0.00	30.201	0	0.000	-100000.0
20120903 03:25	57.4	57.4	57.4	96	56.3	0	1	112	0.00	30.201	0	0.000	-100000.0
20120903 03:30	57.2	57.2	57.2	96	56.1	0	1	112	0.00	30.208	0	0.000	-100000.0
20120903 03:35	57.3	57.3	57.3	96	56.2	0	1	112	0.00	30.208	0	0.000	-100000.0
20120903 03:40	57.4	57.4	57.4	96	56.3	0	1	112	0.00	30.208	0	0.000	-100000.0
20120903 03:45	57.6	57.6	57.6	96	56.5	0	1	112	0.00	30.211	0	0.000	-100000.0
20120903 03:50	57.7	57.7	57.7	96	56.6	0	0	-100000	0.00	30.211	0	0.000	-100000.0
20120903 03:55	57.6	57.6	57.6	96	56.5	0	1	112	0.00	30.211	0	0.000	-100000.0
20120903 04:00	57.7	57.7	57.7	96	56.6	0	1	112	0.00	30.214	0	0.000	-100000.0
20120903 04:05	57.6	57.6	57.6	96	56.5	0	1	112	0.00	30.214	0	0.000	-100000.0
20120903 04:10	57.6	57.6	57.6	96	56.5	0	1	112	0.00	30.214	0	0.000	-100000.0
20120903 04:15	57.6	57.6	57.6	96	56.5	0	0	-100000	0.00	30.219	0	0.000	-100000.0
20120903 04:20	57.7	57.7	57.7	96	56.6	0	1	112	0.00	30.219	0	0.000	-100000.0
20120903 04:25	57.6	57.6	57.6	96	56.5	0	0	-100000	0.00	30.219	0	0.000	-100000.0
20120903 04:30	57.3	57.3	57.3	96	56.2	0	0	-100000	0.00	30.221	0	0.000	-100000.0
20120903 04:35	57.1	57.1	57.1	96	56.0	0	0	-100000	0.00	30.221	0	0.000	-100000.0
20120903 04:40	57.0	57.0	57.0	96	55.9	0	0	-100000	0.00	30.221	0	0.000	-100000.0
20120903 04:45	56.8	56.8	56.8	96	55.7	0	0	-100000	0.00	30.221	0	0.000	-100000.0
20120903 04:50	56.7	56.7	56.7	96	55.6	0	0	-100000	0.00	30.221	0	0.000	-100000.0
20120903 04:55	56.6	56.6	56.6	96	55.5	0	0	-100000	0.00	30.221	0	0.000	-100000.0
20120903 05:00	56.5	56.5	56.5	96	55.4	0	0	-100000	0.00	30.218	0	0.000	-100000.0
20120903 05:05	56.1	56.1	56.1	96	55.0	0	0	-100000	0.00	30.218	0	0.000	-100000.0
20120903 05:10	55.9	55.9	55.9	96	54.8	0	0	-100000	0.00	30.218	0	0.000	-100000.0
20120903 05:15	55.7	55.7	55.7	96	54.6	0	1	112	0.00	30.230	0	0.000	-100000.0
20120903 05:20	55.5	55.5	55.5	96	54.4	0	0	-100000	0.00	30.230	0	0.000	-100000.0
20120903 05:25	55.5	55.5	55.5	96	54.4	0	1	112	0.00	30.230	0	0.000	-100000.0
20120903 05:30	55.5	55.5	55.5	96	54.4	0	0	-100000	0.00	30.220	0	0.000	-100000.0
20120903 05:35	55.7	55.7	55.7	97	54.9	0	0	-100000	0.00	30.220	0	0.000	-100000.0
20120903 05:40	56.2	56.2	56.2	97	55.4	0	0	-100000	0.00	30.220	0	0.000	-100000.0
20120903 05:45	56.3	56.3	56.3	97	55.5	0	0	-100000	0.00	30.224	0	0.000	-100000.0
20120903 05:50	56.3	56.3	56.3	97	55.5	0	0	-100000	0.00	30.224	0	0.000	-100000.0
20120903 05:55	56.1	56.1	56.1	97	55.3	0	0	-100000	0.00	30.224	0	0.000	-100000.0
20120903 06:00	55.9	55.9	55.9	96	54.8	0	0	-100000	0.00	30.229	0	0.000	-100000.0
20120903 06:05	55.7	55.7	55.7	97	54.9	0	0	-100000	0.00	30.229	0	0.000	-100000.0
20120903 06:10	55.5	55.5	55.5	97	54.7	0	0	-100000	0.00	30.229	0	0.000	-100000.0
20120903 06:15	55.3	55.3	55.3	97	54.5	0	0	-100000	0.00	30.233	0	0.000	-100000.0
20120903 06:20	55.3	55.3	55.3	97	54.5	0	0	-100000	0.00	30.233	2	0.000	-100000.0
20120903 06:25	55.2	55.2	55.2	97	54.4	0	0	-100000	0.00	30.233	6	0.000	-100000.0
20120903 06:30	55.1	55.1	55.1	97	54.3	0	0	-100000	0.00	30.233	8	0.000	-100000.0
20120903 06:35	55.2	55.2	55.2	97	54.4	0	1	112	0.00	30.233	11	0.000	-100000.0
20120903 06:40	55.1	55.1	55.1	97	54.3	0	0	-100000	0.00	30.233	14	0.000	-100000.0
20120903 06:45	55.0	55.0	55.0	97	54.2	0	0	-100000	0.00	30.233	17	0.000	-100000.0
20120903 06:50	54.9	54.9	54.9	97	54.1	0	0	-100000	0.00	30.233	27	0.000	-100000.0
20120903 06:55	54.8	54.8	54.8	97	54.0	0	0	-100000	0.00	30.233	40	0.000	-100000.0
20120903 07:00	54.9	54.9	54.9	97	54.1	0	1	112	0.00	30.235	49	0.000	-100000.0
20120903 07:05	55.0	55.0	55.0	97	54.2	0	0	-100000	0.00	30.235	59	0.000	-100000.0
20120903 07:10	55.1	55.1	55.1	97	54.3	0	1	112	0.00	30.235	71	0.000	-100000.0
20120903 07:15	55.5	55.5	55.5	97	54.7	0	1	112	0.00	30.244	85	0.000	-100000.0
20120903 07:20	56.0	56.0	56.0	97	55.2	0	0	-100000	0.00	30.244	99	0.000	-100000.0
20120903 07:25	56.5	56.5	56.5	97	55.7	0	0	-100000	0.00	30.244	116	0.000	-100000.0
20120903 07:30	56.6	56.6	56.6	97	55.8	0	0	-100000	0.00	30.244	130	0.000	-100000.0
20120903 07:35	57.0	57.0	57.0	97	56.2	0	1	112	0.00	30.244	143	0.000	-100000.0
20120903 07:40	57.2	57.2	57.2	97	56.4	0	1	112	0.00	30.244	157	0.000	-100000.0
20120903 07:45	57.3	57.3	57.3	97	56.5	0	1	112	0.00	30.249	172	0.000	-100000.0
20120903 07:50	57.5	57.5	57.5	97	56.7	0	1	112	0.00	30.249	184	0.000	-100000.0
20120903 07:55	57.8	57.8	57.8	97	57.0	0	1	112	0.00	30.249	200	0.000	-100000.0
20120903 08:00	58.1	58.1	58.1	97	57.3	0	1	112	0.00	30.253	220	0.003	-100000.0
20120903 08:05	58.2	58.2	58.2	97	57.4	0	1	112	0.00	30.253	247	0.000	-100000.0
20120903 08:10	59.0	59.0	59.0	97	58.1	0	1	112	0.00	30.253	243	0.000	-100000.0
20120903 08:15	59.0	59.0	59.0	97	58.1	0	1	112	0.00	30.258	281	0.000	-100000.0
20120903 08:20	59.4	59.4	59.4	97	58.5	0	1	112	0.00	30.258	274	0.000	-100000.0
20120903 08:25	59.4	59.4	59.4	96	58.3	0	1	112	0.00	30.258	257	0.000	-100000.0
20120903 08:30	59.3	59.3	59.3	96	58.2	1	4	112	0.00	30.263	187	0.000	-100000.0
20120903 08:35	59.0	59.0	59.0	96	57.9	0	2	112	0.00	30.263	207	0.000	-100000.0
20120903 08:40	59.0	59.0	59.0	96	57.9	2	5	112	0.00	30.263	221	0.000	-100000.0
20120903 08:45	59.0	59.0	59.0	96	57.9	1	5	112	0.00	30.266	161	0.000	-100000.0
20120903 08:50	59.0	59.0	59.0	96	57.9	1	4	112	0.00	30.266	179	0.000	-100000.0
20120903 08:55	59.0	59.0	59.0	96	57.9	1	4	112	0.00	30.266	211	0.000	-100000.0
20120903 09:00	59.4	59.4	59.4	96	58.3	0	3	112	0.00	30.267	190	0.004	-100000.0
20120903 09:05	59.7	59.7	59.7	96	58.6	0	3	112	0.00	30.267	207	0.000	-100000.0
20120903 09:10	60.3	60.3	60.3	96	59.2	0	4	112	0.00	30.267	208	0.000	-100000.0
20120903 09:15	60.6	60.6	60.6	95	59.2	1	5	112	0.00	30.277	208	0.000	-100000.0
20120903 09:20	60.4	60.4	60.4	94	58.7	3	6	270	0.00	30.277	299	0.000	-100000.0
20120903 09:25	61.1	61.1	61.1	94	59.4	1	4	270	0.00	30.277	518	0.000	-100000.0
20120903 09:30	61.9	61.9	61.9	93	59.8	1	4	292	0.00	30.275	474	0.000	-100000.0
20120903 09:35	62.3	62.3	62.3	92	59.9	1	4	0	0.00	30.275	507	0.000	-100000.0
20120903 09:40	62.8	62.8	62.8	91	60.1	1	6	292	0.00	30.275	533	0.000	-100000.0
20120903 09:45	62.9	62.9	62.9	90	59.9	2	6	315	0.00	30.271	499	0.000	-100000.0
20120903 09:50	63.0	63.0	63.0	90	60.0	2	5	315	0.00	30.271	510	0.000	-100000.0
20120903 09:55	63.2	63.2	63.2	89	59.9	1	4	315	0.00	30.271	547	0.000	-100000.0
20120903 10:00	63.7	63.7	63.7	89	60.4	1	4	292	0.00	30.270	511	0.009	-100000.0
20120903 10:05	64.3	64.3	64.3	88	60.7	1	5	292	0.00	30.270	566	0.000	-100000.0
20120903 10:10	64.5	64.5	64.5	87	60.5	1	5	292	0.00	30.270	586	0.000	-100000.0
20120903 10:15	64.7	64.7	64.7	86	60.4	2	5	338	0.00	30.264	601	0.000	-100000.0
20120903 10:20	65.2	65.2	65.2	85	60.6	1	3	338	0.00	30.264	595	0.000	-100000.0
20120903 10:25	65.3	65.3	65.3	85	60.7	1	6	292	0.00	30.264	600	0.000	-100000.0
20120903 10:30	65.2	65.2	65.2	85	60.6	2	7	292	0.00	30.262	476	0.000	-100000.0
20120903 10:35	65.1	65.1	65.1	85	60.5	1	5	292	0.00	30.262	183	0.000	-100000.0
20120903 10:40	65.2	65.2	65.2	85	60.6	1	5	270	0.00	30.262	569	0.000	-100000.0
20120903 10:45	65.7	65.7	65.7	85	61.1	2	4	270	0.00	30.260	636	0.000	-100000.0
20120903 10:50	66.3	66.3	66.3	84	61.3	2	5	270	0.00	30.260	641	0.000	-100000.0
20120903 10:55	66.5	66.5	66.5	83	61.2	3	7	292	0.00	30.260	653	0.000	-100000.0
20120903 11:00	66.7	66.7	66.7	82	61.0	1	4	292	0.00	30.261	655	0.012	-100000.0
20120903 11:05	67.0	67.0	67.0	82	61.3	2	7	338	0.00	30.261	690	0.000	-100000.0
20120903 11:10	67.3	67.3	67.3	82	61.6	2	5	338	0.00	30.261	706	0.000	-100000.0
20120903 11:15	67.1	67.1	67.1	81	61.1	4	11	270	0.00	30.261	690	0.000	-100000.0
20120903 11:20	66.7	66.7	66.7	81	60.7	6	10	270	0.00	30.261	689	0.000	-100000.0
20120903 11:25	66.9	66.9	66.9	82	61.2	2	6	270	0.00	30.261	690	0.000	-100000.0
20120903 11:30	67.5	67.5	67.5	82	61.8	2	6	315	0.00	30.249	694	0.000	-100000.0
