--Timestamp---	Temp	Chill	HIndex	Humid	Dewpt	 Wind 	HiWind	WindDir	Rain 	Barom	Solar	 ET  	 UV 
20120901 00:00	74.5	74.5	74.5	70	64.1	0	3	202	0.00	29.907	0	0.001	-100000.0
20120901 00:05	74.5	74.5	74.5	70	64.1	0	4	202	0.00	29.907	0	0.000	-100000.0
20120901 00:10	74.6	74.6	74.6	70	64.2	0	1	202	0.00	29.907	0	0.000	-100000.0
20120901 00:15	74.2	74.2	74.2	71	64.2	0	0	-100000	0.00	29.912	0	0.000	-100000.0
20120901 00:20	73.9	73.9	73.9	71	63.9	0	0	-100000	0.00	29.912	0	0.000	-100000.0
20120901 00:25	73.9	73.9	73.9	71	63.9	0	0	-100000	0.00	29.912	0	0.000	-100000.0
20120901 00:30	73.7	73.7	73.7	71	63.7	0	0	-100000	0.00	29.913	0	0.000	-100000.0
20120901 00:35	73.6	73.6	73.6	71	63.6	0	1	202	0.00	29.913	0	0.000	-100000.0
20120901 00:40	73.7	73.7	73.7	71	63.7	0	1	202	0.00	29.913	0	0.000	-100000.0
20120901 00:45	74.3	74.3	74.3	70	63.9	1	5	202	0.00	29.914	0	0.000	-100000.0
20120901 00:50	74.9	74.9	74.9	69	64.0	1	5	202	0.00	29.914	0	0.000	-100000.0
20120901 00:55	75.0	75.0	76.8	69	64.1	0	4	202	0.00	29.914	0	0.000	-100000.0
20120901 01:00	75.0	75.0	76.8	68	63.7	1	3	202	0.00	29.914	0	0.001	-100000.0
20120901 01:05	74.8	74.8	74.8	68	63.5	0	1	202	0.00	29.914	0	0.000	-100000.0
20120901 01:10	74.3	74.3	74.3	71	64.3	0	0	-100000	0.00	29.914	0	0.000	-100000.0
20120901 01:15	73.7	73.7	73.7	72	64.1	0	0	-100000	0.00	29.913	0	0.000	-100000.0
20120901 01:20	73.2	73.2	73.2	73	64.0	0	0	-100000	0.00	29.913	0	0.000	-100000.0
20120901 01:25	72.6	72.6	72.6	75	64.2	0	1	202	0.00	29.913	0	0.000	-100000.0
20120901 01:30	72.5	72.5	72.5	74	63.7	0	0	-100000	0.00	29.914	0	0.000	-100000.0
20120901 01:35	72.6	72.6	72.6	74	63.8	0	1	202	0.00	29.914	0	0.000	-100000.0
20120901 01:40	72.6	72.6	72.6	74	63.8	0	1	202	0.00	29.914	0	0.000	-100000.0
20120901 01:45	72.3	72.3	72.3	74	63.5	0	0	-100000	0.00	29.915	0	0.000	-100000.0
20120901 01:50	72.0	72.0	72.0	76	64.0	0	1	202	0.00	29.915	0	0.000	-100000.0
20120901 01:55	71.7	71.7	71.7	76	63.7	0	1	202	0.00	29.915	0	0.000	-100000.0
20120901 02:00	71.7	71.7	71.7	76	63.7	0	0	-100000	0.00	29.918	0	0.001	-100000.0
20120901 02:05	71.5	71.5	71.5	76	63.5	0	0	-100000	0.00	29.918	0	0.000	-100000.0
20120901 02:10	71.5	71.5	71.5	76	63.5	0	1	202	0.00	29.918	0	0.000	-100000.0
20120901 02:15	71.6	71.6	71.6	77	64.0	0	0	-100000	0.00	29.921	0	0.000	-100000.0
20120901 02:20	71.3	71.3	71.3	77	63.7	0	0	-100000	0.00	29.921	0	0.000	-100000.0
20120901 02:25	71.1	71.1	71.1	77	63.5	0	0	-100000	0.00	29.921	0	0.000	-100000.0
20120901 02:30	71.2	71.2	71.2	77	63.6	0	1	202	0.00	29.920	0	0.000	-100000.0
20120901 02:35	71.3	71.3	71.3	77	63.7	0	0	-100000	0.00	29.920	0	0.000	-100000.0
20120901 02:40	71.2	71.2	71.2	77	63.6	0	1	202	0.00	29.920	0	0.000	-100000.0
20120901 02:45	70.8	70.8	70.8	78	63.6	0	1	202	0.00	29.923	0	0.000	-100000.0
20120901 02:50	70.6	70.6	70.6	80	64.1	0	0	-100000	0.00	29.923	0	0.000	-100000.0
20120901 02:55	70.3	70.3	70.3	80	63.8	0	0	-100000	0.00	29.923	0	0.000	-100000.0
20120901 03:00	70.0	70.0	70.0	81	63.9	0	1	202	0.00	29.928	0	0.001	-100000.0
20120901 03:05	69.4	69.4	69.4	82	63.7	0	1	202	0.00	29.928	0	0.000	-100000.0
20120901 03:10	69.0	69.0	69.0	83	63.6	0	0	-100000	0.00	29.928	0	0.000	-100000.0
20120901 03:15	68.7	68.7	68.7	84	63.7	0	0	-100000	0.00	29.928	0	0.000	-100000.0
20120901 03:20	68.3	68.3	68.3	84	63.3	0	3	202	0.00	29.928	0	0.000	-100000.0
20120901 03:25	68.2	68.2	68.2	84	63.2	0	2	202	0.00	29.928	0	0.000	-100000.0
20120901 03:30	68.0	68.0	68.0	85	63.3	0	2	202	0.00	29.932	0	0.000	-100000.0
20120901 03:35	67.9	67.9	67.9	85	63.2	0	3	202	0.00	29.932	0	0.000	-100000.0
20120901 03:40	67.7	67.7	67.7	86	63.4	0	4	180	0.00	29.932	0	0.000	-100000.0
20120901 03:45	67.6	67.6	67.6	86	63.3	0	1	180	0.00	29.939	0	0.000	-100000.0
20120901 03:50	67.5	67.5	67.5	86	63.2	0	1	180	0.00	29.939	0	0.000	-100000.0
20120901 03:55	67.5	67.5	67.5	86	63.2	0	1	180	0.00	29.939	0	0.000	-100000.0
20120901 04:00	67.5	67.5	67.5	86	63.2	0	0	-100000	0.00	29.942	0	0.001	-100000.0
20120901 04:05	67.6	67.6	67.6	86	63.3	0	1	180	0.00	29.942	0	0.000	-100000.0
20120901 04:10	67.7	67.7	67.7	86	63.4	0	1	180	0.00	29.942	0	0.000	-100000.0
20120901 04:15	67.7	67.7	67.7	86	63.4	0	0	-100000	0.00	29.944	0	0.000	-100000.0
20120901 04:20	67.6	67.6	67.6	86	63.3	0	0	-100000	0.00	29.944	0	0.000	-100000.0
20120901 04:25	67.4	67.4	67.4	86	63.1	0	0	-100000	0.00	29.944	0	0.000	-100000.0
20120901 04:30	67.2	67.2	67.2	87	63.2	0	1	180	0.00	29.946	0	0.000	-100000.0
20120901 04:35	67.1	67.1	67.1	87	63.1	0	0	-100000	0.00	29.946	0	0.000	-100000.0
20120901 04:40	67.0	67.0	67.0	87	63.0	0	1	180	0.00	29.946	0	0.000	-100000.0
20120901 04:45	67.1	67.1	67.1	87	63.1	0	1	180	0.00	29.948	0	0.000	-100000.0
20120901 04:50	67.2	67.2	67.2	87	63.2	0	1	180	0.00	29.948	0	0.000	-100000.0
20120901 04:55	67.2	67.2	67.2	87	63.2	0	0	-100000	0.00	29.948	0	0.000	-100000.0
20120901 05:00	66.9	66.9	66.9	87	62.9	0	0	-100000	0.00	29.956	0	0.000	-100000.0
20120901 05:05	66.7	66.7	66.7	88	63.0	0	1	180	0.00	29.956	0	0.000	-100000.0
20120901 05:10	66.6	66.6	66.6	89	63.3	0	1	180	0.00	29.956	0	0.000	-100000.0
20120901 05:15	66.8	66.8	66.8	89	63.4	0	1	180	0.00	29.967	0	0.000	-100000.0
20120901 05:20	66.6	66.6	66.6	88	62.9	0	0	-100000	0.00	29.967	0	0.000	-100000.0
20120901 05:25	66.3	66.3	66.3	89	63.0	0	0	-100000	0.00	29.967	0	0.000	-100000.0
20120901 05:30	66.1	66.1	66.1	89	62.8	0	0	-100000	0.00	29.972	0	0.000	-100000.0
20120901 05:35	66.0	66.0	66.0	90	63.0	0	0	-100000	0.00	29.972	0	0.000	-100000.0
20120901 05:40	65.9	65.9	65.9	90	62.9	0	0	-100000	0.00	29.972	0	0.000	-100000.0
20120901 05:45	65.8	65.8	65.8	90	62.8	0	0	-100000	0.00	29.975	0	0.000	-100000.0
20120901 05:50	65.8	65.8	65.8	90	62.8	0	0	-100000	0.00	29.975	0	0.000	-100000.0
20120901 05:55	65.7	65.7	65.7	91	63.0	0	1	180	0.00	29.975	0	0.000	-100000.0
20120901 06:00	65.8	65.8	65.8	91	63.1	0	0	-100000	0.00	29.979	0	0.000	-100000.0
20120901 06:05	65.8	65.8	65.8	91	63.1	0	0	-100000	0.00	29.979	0	0.000	-100000.0
20120901 06:10	65.7	65.7	65.7	91	63.0	0	1	180	0.00	29.979	0	0.000	-100000.0
20120901 06:15	65.6	65.6	65.6	91	62.9	0	0	-100000	0.00	29.990	1	0.000	-100000.0
20120901 06:20	65.5	65.5	65.5	91	62.8	0	0	-100000	0.00	29.990	5	0.000	-100000.0
20120901 06:25	65.3	65.3	65.3	91	62.6	0	0	-100000	0.00	29.990	9	0.000	-100000.0
20120901 06:30	65.2	65.2	65.2	92	62.8	0	0	-100000	0.00	29.995	12	0.000	-100000.0
20120901 06:35	65.2	65.2	65.2	92	62.8	0	0	-100000	0.00	29.995	18	0.000	-100000.0
20120901 06:40	65.2	65.2	65.2	92	62.8	0	0	-100000	0.00	29.995	24	0.000	-100000.0
20120901 06:45	65.2	65.2	65.2	92	62.8	0	0	-100000	0.00	30.006	26	0.000	-100000.0
20120901 06:50	65.3	65.3	65.3	92	62.9	0	0	-100000	0.00	30.006	30	0.000	-100000.0
20120901 06:55	65.5	65.5	65.5	93	63.4	0	0	-100000	0.00	30.006	43	0.000	-100000.0
20120901 07:00	65.9	65.9	65.9	93	63.8	0	0	-100000	0.00	30.010	51	0.000	-100000.0
20120901 07:05	66.2	66.2	66.2	92	63.8	0	0	-100000	0.00	30.010	60	0.000	-100000.0
20120901 07:10	66.4	66.4	66.4	92	64.0	0	0	-100000	0.00	30.010	70	0.000	-100000.0
