--Timestamp---	Temp	Chill	HIndex	Humid	Dewpt	 Wind 	HiWind	WindDir	Rain 	Barom	Solar	 ET  	 UV 
20120301 00:00	31.9	31.9	31.9	96	30.9	0	0	-100000	0.00	29.933	0	0.000	-100000.0
20120301 00:05	31.9	31.9	31.9	96	30.9	0	0	-100000	0.00	29.933	0	0.000	-100000.0
20120301 00:10	32.1	32.1	32.1	96	31.1	0	0	-100000	0.00	29.933	0	0.000	-100000.0
20120301 00:15	32.1	32.1	32.1	96	31.1	0	0	-100000	0.00	29.935	0	0.000	-100000.0
20120301 00:20	32.2	32.2	32.2	96	31.2	0	0	-100000	0.00	29.935	0	0.000	-100000.0
20120301 00:25	32.2	32.2	32.2	96	31.2	0	0	-100000	0.00	29.935	0	0.000	-100000.0
20120301 00:30	32.1	32.1	32.1	96	31.1	0	0	-100000	0.00	29.917	0	0.000	-100000.0
20120301 00:35	32.0	32.0	32.0	96	31.0	0	0	-100000	0.00	29.917	0	0.000	-100000.0
20120301 00:40	32.0	32.0	32.0	96	31.0	0	0	-100000	0.00	29.917	0	0.000	-100000.0
20120301 00:45	32.0	32.0	32.0	96	31.0	0	0	-100000	0.00	29.926	0	0.000	-100000.0
20120301 00:50	32.0	32.0	32.0	96	31.0	0	0	-100000	0.00	29.926	0	0.000	-100000.0
20120301 00:55	31.9	31.9	31.9	96	30.9	0	0	-100000	0.00	29.926	0	0.000	-100000.0
20120301 01:00	31.8	31.8	31.8	96	30.8	0	0	-100000	0.00	29.923	0	0.000	-100000.0
20120301 01:05	31.8	31.8	31.8	96	30.8	0	0	-100000	0.00	29.923	0	0.000	-100000.0
20120301 01:10	31.7	31.7	31.7	96	30.7	0	0	-100000	0.00	29.923	0	0.000	-100000.0
20120301 01:15	31.7	31.7	31.7	96	30.7	0	0	-100000	0.00	29.915	0	0.000	-100000.0
20120301 01:20	31.6	31.6	31.6	96	30.6	0	0	-100000	0.00	29.915	0	0.000	-100000.0
20120301 01:25	31.6	31.6	31.6	96	30.6	0	0	-100000	0.00	29.915	0	0.000	-100000.0
20120301 01:30	31.6	31.6	31.6	96	30.6	0	0	-100000	0.00	29.901	0	0.000	-100000.0
20120301 01:35	31.6	31.6	31.6	96	30.6	0	0	-100000	0.00	29.901	0	0.000	-100000.0
20120301 01:40	31.6	31.6	31.6	96	30.6	0	0	-100000	0.00	29.901	0	0.000	-100000.0
20120301 01:45	31.6	31.6	31.6	96	30.6	0	0	-100000	0.00	29.894	0	0.000	-100000.0
20120301 01:50	31.7	31.7	31.7	96	30.7	0	0	-100000	0.00	29.894	0	0.000	-100000.0
20120301 01:55	31.7	31.7	31.7	96	30.7	0	0	-100000	0.00	29.894	0	0.000	-100000.0
20120301 02:00	31.7	31.7	31.7	96	30.7	0	0	-100000	0.00	29.884	0	0.000	-100000.0
20120301 02:05	31.6	31.6	31.6	96	30.6	0	0	-100000	0.00	29.884	0	0.000	-100000.0
