--Timestamp---	Temp	Chill	HIndex	Humid	Dewpt	 Wind 	HiWind	WindDir	Rain 	Barom	Solar	 ET  	 UV 
20120504 00:00	52.6	52.6	52.6	95	51.2	1	6	202	0.00	30.134	0	0.000	-100000.0
20120504 00:05	52.6	52.6	52.6	95	51.2	0	5	202	0.00	30.134	0	0.000	-100000.0
20120504 00:10	52.6	52.6	52.6	95	51.2	0	4	202	0.00	30.134	0	0.000	-100000.0
20120504 00:15	52.6	52.6	52.6	95	51.2	1	4	202	0.00	30.135	0	0.000	-100000.0
20120504 00:20	52.6	52.6	52.6	95	51.2	0	1	202	0.00	30.135	0	0.000	-100000.0
20120504 00:25	52.6	52.6	52.6	95	51.2	1	3	202	0.00	30.135	0	0.000	-100000.0
20120504 00:30	52.5	52.5	52.5	95	51.1	3	5	202	0.00	30.118	0	0.000	-100000.0
20120504 00:35	52.4	52.4	52.4	95	51.0	3	6	202	0.00	30.118	0	0.000	-100000.0
20120504 00:40	52.4	52.4	52.4	95	51.0	0	4	202	0.00	30.118	0	0.000	-100000.0
20120504 00:45	52.5	52.5	52.5	95	51.1	1	4	202	0.00	30.116	0	0.000	-100000.0
20120504 00:50	52.5	52.5	52.5	95	51.1	0	3	202	0.00	30.116	0	0.000	-100000.0
20120504 00:55	52.5	52.5	52.5	95	51.1	1	4	202	0.00	30.116	0	0.000	-100000.0
20120504 01:00	52.5	52.5	52.5	95	51.1	2	7	202	0.00	30.121	0	0.000	-100000.0
20120504 01:05	52.5	52.5	52.5	95	51.1	1	4	202	0.00	30.121	0	0.000	-100000.0
20120504 01:10	52.5	52.5	52.5	95	51.1	2	4	202	0.00	30.121	0	0.000	-100000.0
20120504 01:15	52.5	52.5	52.5	95	51.1	2	7	202	0.00	30.116	0	0.000	-100000.0
20120504 01:20	52.5	52.5	52.5	95	51.1	2	5	202	0.00	30.116	0	0.000	-100000.0
20120504 01:25	52.5	52.5	52.5	95	51.1	4	9	180	0.00	30.116	0	0.000	-100000.0
20120504 01:30	52.5	52.5	52.5	95	51.1	4	7	158	0.00	30.100	0	0.000	-100000.0
20120504 01:35	52.4	52.4	52.4	95	51.0	2	11	158	0.00	30.100	0	0.000	-100000.0
20120504 01:40	52.4	52.4	52.4	95	51.0	3	9	158	0.00	30.100	0	0.000	-100000.0
20120504 01:45	52.4	52.4	52.4	95	51.0	3	6	180	0.00	30.087	0	0.000	-100000.0
20120504 01:50	52.4	52.4	52.4	95	51.0	1	9	180	0.00	30.087	0	0.000	-100000.0
20120504 01:55	52.3	52.3	52.3	95	50.9	2	6	202	0.00	30.087	0	0.000	-100000.0
20120504 02:00	52.2	52.2	52.2	95	50.8	4	7	158	0.00	30.085	0	0.000	-100000.0
20120504 02:05	52.2	52.2	52.2	95	50.8	3	7	158	0.00	30.085	0	0.000	-100000.0
20120504 02:10	52.2	52.2	52.2	95	50.8	3	7	158	0.00	30.085	0	0.000	-100000.0
20120504 02:15	52.2	52.2	52.2	95	50.8	1	4	180	0.00	30.085	0	0.000	-100000.0
20120504 02:20	52.3	52.3	52.3	95	50.9	1	6	180	0.00	30.085	0	0.000	-100000.0
20120504 02:25	52.2	52.2	52.2	94	50.5	1	6	180	0.00	30.085	0	0.000	-100000.0
20120504 02:30	52.2	52.2	52.2	95	50.8	2	9	180	0.00	30.112	0	0.000	-100000.0
20120504 02:35	52.3	52.3	52.3	95	50.9	2	11	225	0.00	30.112	0	0.000	-100000.0
20120504 02:40	52.2	52.2	52.2	95	50.8	1	10	225	0.00	30.112	0	0.000	-100000.0
20120504 02:45	52.1	52.1	52.1	95	50.7	3	8	202	0.00	30.106	0	0.000	-100000.0
20120504 02:50	52.0	52.0	52.0	95	50.6	5	11	180	0.00	30.106	0	0.000	-100000.0
20120504 02:55	51.9	51.9	51.9	95	50.5	4	13	180	0.00	30.106	0	0.000	-100000.0
