--Timestamp---	Temp	Chill	HIndex	Humid	Dewpt	 Wind 	HiWind	WindDir	Rain 	Barom	Solar	 ET  	 UV 
20120501 00:00	53.0	53.0	53.0	53	36.3	2	10	158	0.00	30.246	0	0.002	-100000.0
20120501 00:05	53.0	53.0	53.0	51	35.4	4	11	158	0.00	30.246	0	0.000	-100000.0
20120501 00:10	52.9	52.9	52.9	50	34.8	5	15	180	0.00	30.246	0	0.000	-100000.0
20120501 00:15	52.8	52.8	52.8	50	34.7	3	16	180	0.00	30.253	0	0.000	-100000.0
20120501 00:20	52.8	52.8	52.8	50	34.7	4	14	202	0.00	30.253	0	0.000	-100000.0
20120501 00:25	52.8	52.8	52.8	50	34.7	3	9	180	0.00	30.253	0	0.000	-100000.0
20120501 00:30	52.7	52.7	52.7	50	34.6	3	10	202	0.00	30.243	0	0.000	-100000.0
20120501 00:35	52.7	52.7	52.7	52	35.6	2	6	180	0.00	30.243	0	0.000	-100000.0
20120501 00:40	52.6	52.6	52.6	54	36.4	2	6	180	0.00	30.243	0	0.000	-100000.0
20120501 00:45	52.4	52.4	52.4	55	36.7	3	7	180	0.00	30.238	0	0.000	-100000.0
20120501 00:50	52.2	52.2	52.2	55	36.5	4	12	180	0.00	30.238	0	0.000	-100000.0
20120501 00:55	52.1	52.1	52.1	55	36.4	4	12	180	0.00	30.238	0	0.000	-100000.0
20120501 01:00	51.8	51.8	51.8	55	36.2	6	12	158	0.00	30.225	0	0.002	-100000.0
20120501 01:05	51.6	51.6	51.6	56	36.4	3	7	158	0.00	30.225	0	0.000	-100000.0
20120501 01:10	51.5	51.5	51.5	56	36.3	3	7	158	0.00	30.225	0	0.000	-100000.0
20120501 01:15	51.4	51.4	51.4	55	35.8	5	13	180	0.00	30.210	0	0.000	-100000.0
20120501 01:20	51.3	51.3	51.3	55	35.7	4	10	202	0.00	30.210	0	0.000	-100000.0
20120501 01:25	51.3	51.3	51.3	55	35.7	4	9	180	0.00	30.210	0	0.000	-100000.0
20120501 01:30	51.2	51.2	51.2	55	35.6	2	11	158	0.00	30.208	0	0.000	-100000.0
20120501 01:35	51.1	51.1	51.1	54	35.0	4	10	158	0.00	30.208	0	0.000	-100000.0
20120501 01:40	51.0	51.0	51.0	54	34.9	3	10	158	0.00	30.208	0	0.000	-100000.0
20120501 01:45	51.0	51.0	51.0	53	34.5	3	7	180	0.00	30.193	0	0.000	-100000.0
20120501 01:50	51.0	51.0	51.0	53	34.5	3	10	158	0.00	30.193	0	0.000	-100000.0
20120501 01:55	50.9	50.9	50.9	54	34.9	4	10	158	0.00	30.193	0	0.000	-100000.0
20120501 02:00	50.7	50.7	50.7	56	35.6	2	7	180	0.00	30.193	0	0.002	-100000.0
20120501 02:05	50.5	50.5	50.5	56	35.4	3	9	180	0.00	30.193	0	0.000	-100000.0
20120501 02:10	50.4	50.4	50.4	56	35.3	1	4	158	0.00	30.193	0	0.000	-100000.0
20120501 02:15	50.4	50.4	50.4	56	35.3	0	3	158	0.00	30.205	0	0.000	-100000.0
20120501 02:20	50.3	50.3	50.3	55	34.8	0	4	158	0.00	30.205	0	0.000	-100000.0
20120501 02:25	50.3	50.3	50.3	56	35.2	1	5	158	0.00	30.205	0	0.000	-100000.0
20120501 02:30	50.0	50.0	50.0	58	35.8	1	6	158	0.00	30.208	0	0.000	-100000.0
20120501 02:35	49.6	49.6	49.6	60	36.3	1	6	158	0.00	30.208	0	0.000	-100000.0
20120501 02:40	49.2	49.2	49.2	63	37.1	2	6	180	0.00	30.208	0	0.000	-100000.0
20120501 02:45	48.6	48.6	48.6	66	37.8	3	9	180	0.01	30.198	0	0.000	-100000.0
20120501 02:50	48.2	48.2	48.2	68	38.1	1	5	158	0.00	30.198	0	0.000	-100000.0
20120501 02:55	47.9	47.9	47.9	69	38.2	2	6	180	0.01	30.198	0	0.000	-100000.0
20120501 03:00	47.6	47.6	47.6	70	38.3	1	5	180	0.00	30.212	0	0.001	-100000.0
20120501 03:05	47.4	47.4	47.4	71	38.5	1	6	180	0.00	30.212	0	0.000	-100000.0
20120501 03:10	47.3	47.3	47.3	72	38.7	2	6	180	0.02	30.212	0	0.000	-100000.0
20120501 03:15	46.9	46.9	46.9	74	39.1	3	6	158	0.01	30.207	0	0.000	-100000.0
20120501 03:20	46.6	44.9	46.6	75	39.1	4	7	158	0.00	30.207	0	0.000	-100000.0
20120501 03:25	46.5	46.5	46.5	76	39.3	3	6	158	0.01	30.207	0	0.000	-100000.0
20120501 03:30	46.4	46.4	46.4	76	39.3	2	5	158	0.00	30.208	0	0.000	-100000.0
20120501 03:35	46.2	46.2	46.2	78	39.7	2	6	158	0.02	30.208	0	0.000	-100000.0
20120501 03:40	45.8	45.8	45.8	81	40.3	1	10	158	0.00	30.208	0	0.000	-100000.0
20120501 03:45	45.8	42.7	45.8	79	39.7	6	14	135	0.01	30.191	0	0.000	-100000.0
20120501 03:50	45.8	43.3	45.8	78	39.3	5	11	135	0.00	30.191	0	0.000	-100000.0
20120501 03:55	45.7	43.2	45.7	80	39.9	5	10	135	0.00	30.191	0	0.000	-100000.0
20120501 04:00	45.6	43.0	45.6	81	40.1	5	11	158	0.00	30.191	0	0.001	-100000.0
20120501 04:05	45.7	42.5	45.7	81	40.2	6	12	158	0.00	30.191	0	0.000	-100000.0
20120501 04:10	45.9	42.8	45.9	80	40.1	6	14	158	0.00	30.191	0	0.000	-100000.0
20120501 04:15	45.9	42.2	45.9	80	40.1	7	13	135	0.00	30.182	0	0.000	-100000.0
20120501 04:20	45.9	43.4	45.9	80	40.1	5	10	135	0.00	30.182	0	0.000	-100000.0
20120501 04:25	46.1	43.0	46.1	80	40.3	6	12	158	0.00	30.182	0	0.000	-100000.0
20120501 04:30	46.1	42.5	46.1	80	40.3	7	13	135	0.00	30.174	0	0.000	-100000.0
20120501 04:35	46.1	43.0	46.1	81	40.6	6	12	158	0.00	30.174	0	0.000	-100000.0
20120501 04:40	46.0	44.2	46.0	82	40.8	4	9	158	0.00	30.174	0	0.000	-100000.0
20120501 04:45	46.1	46.1	46.1	82	40.9	3	7	158	0.00	30.180	0	0.000	-100000.0
20120501 04:50	46.5	46.5	46.5	81	41.0	3	11	158	0.00	30.180	0	0.000	-100000.0
20120501 04:55	46.6	44.9	46.6	80	40.8	4	8	158	0.00	30.180	0	0.000	-100000.0
20120501 05:00	46.7	46.7	46.7	80	40.9	3	7	135	0.00	30.167	0	0.001	-100000.0
20120501 05:05	46.7	45.1	46.7	81	41.2	4	11	135	0.00	30.167	0	0.000	-100000.0
20120501 05:10	46.9	43.0	46.9	80	41.1	8	14	135	0.00	30.167	0	0.000	-100000.0
20120501 05:15	47.1	43.7	47.1	81	41.6	7	14	135	0.00	30.162	0	0.000	-100000.0
20120501 05:20	47.1	42.8	47.1	81	41.6	9	14	135	0.00	30.162	0	0.000	-100000.0
20120501 05:25	47.3	44.5	47.3	81	41.8	6	14	135	0.00	30.162	0	0.000	-100000.0
20120501 05:30	47.4	45.9	47.4	82	42.2	4	11	135	0.00	30.162	0	0.000	-100000.0
20120501 05:35	47.5	45.3	47.5	82	42.3	5	11	158	0.00	30.162	0	0.000	-100000.0
20120501 05:40	47.6	46.1	47.6	82	42.4	4	13	158	0.00	30.162	0	0.000	-100000.0
20120501 05:45	47.7	47.7	47.7	82	42.5	2	7	158	0.00	30.156	0	0.000	-100000.0
20120501 05:50	47.8	45.0	47.8	82	42.6	6	14	135	0.00	30.156	0	0.000	-100000.0
20120501 05:55	47.8	47.8	47.8	82	42.6	3	10	158	0.00	30.156	0	0.000	-100000.0
20120501 06:00	47.8	45.0	47.8	82	42.6	6	13	158	0.00	30.147	0	0.001	-100000.0
20120501 06:05	47.9	44.7	47.9	82	42.7	7	16	135	0.00	30.147	0	0.000	-100000.0
20120501 06:10	47.9	43.8	47.9	82	42.7	9	18	158	0.00	30.147	0	0.000	-100000.0
20120501 06:15	47.9	44.2	47.9	82	42.7	8	18	158	0.00	30.141	3	0.000	-100000.0
20120501 06:20	47.9	44.2	47.9	82	42.7	8	17	135	0.00	30.141	5	0.000	-100000.0
20120501 06:25	47.9	44.7	47.9	82	42.7	7	16	135	0.00	30.141	7	0.000	-100000.0
20120501 06:30	47.9	44.2	47.9	82	42.7	8	18	135	0.00	30.132	8	0.000	-100000.0
20120501 06:35	47.9	44.2	47.9	82	42.7	8	13	135	0.00	30.132	7	0.000	-100000.0
20120501 06:40	48.0	45.3	48.0	82	42.8	6	14	135	0.00	30.132	8	0.000	-100000.0
20120501 06:45	48.0	48.0	48.0	82	42.8	3	9	158	0.01	30.147	5	0.000	-100000.0
20120501 06:50	47.9	47.9	47.9	83	43.0	2	6	158	0.00	30.147	0	0.000	-100000.0
20120501 06:55	47.9	45.8	47.9	82	42.7	5	12	158	0.00	30.147	0	0.000	-100000.0
20120501 07:00	48.0	48.0	48.0	83	43.1	1	6	180	0.00	30.147	4	0.001	-100000.0
20120501 07:05	47.9	47.9	47.9	83	43.0	1	5	180	0.00	30.147	5	0.000	-100000.0
20120501 07:10	48.1	45.4	48.1	82	42.9	6	15	158	0.01	30.147	8	0.000	-100000.0
20120501 07:15	48.0	45.3	48.0	82	42.8	6	12	158	0.00	30.134	12	0.000	-100000.0
20120501 07:20	47.9	46.4	47.9	83	43.0	4	11	158	0.00	30.134	11	0.000	-100000.0
20120501 07:25	47.8	46.3	47.8	83	42.9	4	10	158	0.00	30.134	13	0.000	-100000.0
20120501 07:30	47.8	46.3	47.8	83	42.9	4	10	158	0.00	30.138	18	0.000	-100000.0
20120501 07:35	47.7	47.7	47.7	84	43.1	3	11	135	0.00	30.138	21	0.000	-100000.0
20120501 07:40	47.7	47.7	47.7	84	43.1	2	11	135	0.00	30.138	22	0.000	-100000.0
20120501 07:45	47.6	47.6	47.6	85	43.3	1	4	135	0.01	30.148	19	0.000	-100000.0
20120501 07:50	47.5	47.5	47.5	86	43.5	1	5	158	0.00	30.148	20	0.000	-100000.0
20120501 07:55	47.4	45.9	47.4	86	43.4	4	10	135	0.01	30.148	23	0.000	-100000.0
20120501 08:00	47.3	47.3	47.3	87	43.6	3	11	158	0.00	30.145	22	0.001	-100000.0
20120501 08:05	47.2	45.6	47.2	87	43.5	4	9	158	0.00	30.145	26	0.000	-100000.0
20120501 08:10	47.1	45.5	47.1	88	43.7	4	12	158	0.01	30.145	32	0.000	-100000.0
20120501 08:15	47.1	45.5	47.1	88	43.7	4	7	158	0.00	30.134	31	0.000	-100000.0
20120501 08:20	47.0	44.7	47.0	89	43.9	5	11	158	0.00	30.134	32	0.000	-100000.0
20120501 08:25	47.0	47.0	47.0	89	43.9	2	5	180	0.00	30.134	34	0.000	-100000.0
20120501 08:30	47.0	47.0	47.0	89	43.9	2	5	180	0.01	30.133	23	0.000	-100000.0
20120501 08:35	46.9	45.3	46.9	90	44.1	4	10	180	0.00	30.133	26	0.000	-100000.0
20120501 08:40	46.9	45.3	46.9	90	44.1	4	9	158	0.00	30.133	26	0.000	-100000.0
20120501 08:45	46.8	46.8	46.8	90	44.0	3	9	158	0.02	30.132	29	0.000	-100000.0
20120501 08:50	46.8	46.8	46.8	90	44.0	1	7	158	0.02	30.132	27	0.000	-100000.0
