--Timestamp---	Temp	Chill	HIndex	Humid	Dewpt	 Wind 	HiWind	WindDir	Rain 	Barom	Solar	 ET  	 UV 
20121102 00:00	48.0	48.0	48.0	82	42.8	2	11	225	0.00	29.594	0	0.001	-100000.0
20121102 00:05	48.0	48.0	48.0	82	42.8	1	11	248	0.00	29.594	0	0.000	-100000.0
20121102 00:10	48.1	48.1	48.1	82	42.9	2	6	248	0.00	29.594	0	0.000	-100000.0
20121102 00:15	48.1	46.7	48.1	82	42.9	4	9	248	0.00	29.593	0	0.000	-100000.0
20121102 00:20	48.1	48.1	48.1	82	42.9	3	10	225	0.00	29.593	0	0.000	-100000.0
20121102 00:25	48.1	48.1	48.1	82	42.9	3	9	225	0.00	29.593	0	0.000	-100000.0
20121102 00:30	48.1	48.1	48.1	82	42.9	3	7	225	0.00	29.592	0	0.000	-100000.0
20121102 00:35	48.1	48.1	48.1	82	42.9	3	7	248	0.00	29.592	0	0.000	-100000.0
20121102 00:40	48.1	48.1	48.1	82	42.9	1	6	248	0.00	29.592	0	0.000	-100000.0
20121102 00:45	48.1	48.1	48.1	82	42.9	2	6	248	0.00	29.591	0	0.000	-100000.0
20121102 00:50	48.1	48.1	48.1	82	42.9	2	6	225	0.00	29.591	0	0.000	-100000.0
20121102 00:55	48.1	48.1	48.1	82	42.9	2	6	248	0.00	29.591	0	0.000	-100000.0
20121102 01:00	48.1	48.1	48.1	83	43.2	1	4	248	0.00	29.591	0	0.001	-100000.0
20121102 01:05	48.0	48.0	48.0	82	42.8	1	5	248	0.00	29.591	0	0.000	-100000.0
20121102 01:10	48.0	48.0	48.0	82	42.8	2	6	248	0.00	29.591	0	0.000	-100000.0
20121102 01:15	47.9	47.9	47.9	82	42.7	2	5	248	0.00	29.591	0	0.000	-100000.0
20121102 01:20	47.9	47.9	47.9	83	43.0	2	6	225	0.00	29.591	0	0.000	-100000.0
20121102 01:25	47.9	47.9	47.9	83	43.0	2	5	225	0.00	29.591	0	0.000	-100000.0
20121102 01:30	47.9	47.9	47.9	84	43.3	1	5	225	0.00	29.589	0	0.000	-100000.0
20121102 01:35	47.8	47.8	47.8	84	43.2	1	5	225	0.00	29.589	0	0.000	-100000.0
20121102 01:40	47.8	47.8	47.8	84	43.2	2	6	225	0.00	29.589	0	0.000	-100000.0
20121102 01:45	47.7	47.7	47.7	84	43.1	2	5	225	0.00	29.590	0	0.000	-100000.0
20121102 01:50	47.6	47.6	47.6	84	43.0	1	5	225	0.00	29.590	0	0.000	-100000.0
20121102 01:55	47.6	47.6	47.6	84	43.0	2	6	225	0.00	29.590	0	0.000	-100000.0
20121102 02:00	47.4	47.4	47.4	85	43.1	2	4	225	0.00	29.592	0	0.001	-100000.0
20121102 02:05	47.4	47.4	47.4	85	43.1	1	3	225	0.00	29.592	0	0.000	-100000.0
20121102 02:10	47.3	47.3	47.3	85	43.0	2	4	225	0.00	29.592	0	0.000	-100000.0
20121102 02:15	47.3	47.3	47.3	85	43.0	1	5	225	0.00	29.595	0	0.000	-100000.0
20121102 02:20	47.3	47.3	47.3	85	43.0	1	6	225	0.00	29.595	0	0.000	-100000.0
20121102 02:25	47.3	47.3	47.3	85	43.0	0	3	225	0.00	29.595	0	0.000	-100000.0
20121102 02:30	47.2	47.2	47.2	85	42.9	0	3	225	0.00	29.593	0	0.000	-100000.0
20121102 02:35	47.2	47.2	47.2	85	42.9	1	5	225	0.00	29.593	0	0.000	-100000.0
20121102 02:40	47.3	47.3	47.3	85	43.0	2	5	225	0.00	29.593	0	0.000	-100000.0
20121102 02:45	47.5	47.5	47.5	83	42.6	2	6	225	0.00	29.594	0	0.000	-100000.0
20121102 02:50	47.6	47.6	47.6	82	42.4	1	3	225	0.00	29.594	0	0.000	-100000.0
20121102 02:55	47.7	47.7	47.7	82	42.5	2	5	225	0.00	29.594	0	0.000	-100000.0
20121102 03:00	47.7	47.7	47.7	82	42.5	2	4	225	0.00	29.595	0	0.000	-100000.0
20121102 03:05	47.7	47.7	47.7	81	42.2	2	6	225	0.00	29.595	0	0.000	-100000.0
20121102 03:10	47.8	47.8	47.8	80	41.9	3	7	225	0.00	29.595	0	0.000	-100000.0
20121102 03:15	47.9	47.9	47.9	79	41.7	1	5	270	0.00	29.595	0	0.000	-100000.0
20121102 03:20	47.9	47.9	47.9	79	41.7	1	4	248	0.00	29.595	0	0.000	-100000.0
20121102 03:25	47.9	47.9	47.9	79	41.7	1	4	248	0.00	29.595	0	0.000	-100000.0
20121102 03:30	47.9	47.9	47.9	80	42.0	1	4	225	0.00	29.593	0	0.000	-100000.0
20121102 03:35	47.9	47.9	47.9	81	42.4	1	4	225	0.00	29.593	0	0.000	-100000.0
20121102 03:40	47.9	47.9	47.9	81	42.4	2	3	225	0.00	29.593	0	0.000	-100000.0
20121102 03:45	47.8	47.8	47.8	82	42.6	1	4	225	0.00	29.593	0	0.000	-100000.0
20121102 03:50	47.7	47.7	47.7	82	42.5	2	4	225	0.00	29.593	0	0.000	-100000.0
20121102 03:55	47.7	47.7	47.7	81	42.2	2	4	225	0.00	29.593	0	0.000	-100000.0
20121102 04:00	47.7	47.7	47.7	81	42.2	1	3	225	0.00	29.592	0	0.001	-100000.0
20121102 04:05	47.7	47.7	47.7	81	42.2	1	3	225	0.00	29.592	0	0.000	-100000.0
20121102 04:10	47.7	47.7	47.7	82	42.5	2	4	225	0.00	29.592	0	0.000	-100000.0
20121102 04:15	47.7	47.7	47.7	83	42.8	2	4	225	0.00	29.591	0	0.000	-100000.0
20121102 04:20	47.6	47.6	47.6	83	42.7	1	4	225	0.00	29.591	0	0.000	-100000.0
20121102 04:25	47.5	47.5	47.5	83	42.6	2	5	225	0.00	29.591	0	0.000	-100000.0
20121102 04:30	47.5	47.5	47.5	84	42.9	1	3	225	0.00	29.592	0	0.000	-100000.0
20121102 04:35	47.4	47.4	47.4	84	42.8	1	4	225	0.00	29.592	0	0.000	-100000.0
20121102 04:40	47.4	47.4	47.4	84	42.8	1	4	225	0.00	29.592	0	0.000	-100000.0
20121102 04:45	47.3	47.3	47.3	84	42.7	2	4	225	0.00	29.592	0	0.000	-100000.0
20121102 04:50	47.3	47.3	47.3	84	42.7	2	5	225	0.00	29.592	0	0.000	-100000.0
20121102 04:55	47.2	47.2	47.2	84	42.6	2	4	225	0.00	29.592	0	0.000	-100000.0
20121102 05:00	47.2	47.2	47.2	84	42.6	2	4	225	0.00	29.592	0	0.001	-100000.0
20121102 05:05	47.1	47.1	47.1	84	42.5	1	3	225	0.00	29.592	0	0.000	-100000.0
20121102 05:10	46.9	46.9	46.9	84	42.3	1	3	225	0.00	29.592	0	0.000	-100000.0
20121102 05:15	46.8	46.8	46.8	85	42.5	1	2	225	0.00	29.578	0	0.000	-100000.0
