--Timestamp---	Temp	Chill	HIndex	Humid	Dewpt	 Wind 	HiWind	WindDir	Rain 	Barom	Solar	 ET  	 UV 
20120101 00:00	34.6	34.6	34.6	97	33.8	0	1	292	0.00	30.012	0	0.000	-100000.0
20120101 00:05	34.6	34.6	34.6	97	33.8	0	1	292	0.00	30.012	0	0.000	-100000.0
20120101 00:10	34.7	34.7	34.7	97	33.9	0	0	-100000	0.00	30.012	0	0.000	-100000.0
20120101 00:15	34.7	34.7	34.7	97	33.9	0	0	-100000	0.00	30.011	0	0.000	-100000.0
20120101 00:20	34.8	34.8	34.8	97	34.0	0	0	-100000	0.00	30.011	0	0.000	-100000.0
20120101 00:25	34.7	34.7	34.7	97	33.9	0	0	-100000	0.00	30.011	0	0.000	-100000.0
20120101 00:30	34.6	34.6	34.6	97	33.8	0	0	-100000	0.00	30.005	0	0.000	-100000.0
20120101 00:35	34.4	34.4	34.4	97	33.6	0	1	292	0.00	30.005	0	0.000	-100000.0
20120101 00:40	34.5	34.5	34.5	97	33.7	0	2	292	0.00	30.005	0	0.000	-100000.0
20120101 00:45	34.4	34.4	34.4	97	33.6	0	2	292	0.00	30.018	0	0.000	-100000.0
20120101 00:50	34.4	34.4	34.4	97	33.6	0	3	292	0.00	30.018	0	0.000	-100000.0
20120101 00:55	34.4	34.4	34.4	97	33.6	0	0	-100000	0.00	30.018	0	0.000	-100000.0
20120101 01:00	34.4	34.4	34.4	97	33.6	0	1	292	0.00	30.024	0	0.000	-100000.0
20120101 01:05	34.4	34.4	34.4	97	33.6	0	1	292	0.00	30.024	0	0.000	-100000.0
20120101 01:10	34.4	34.4	34.4	97	33.6	0	2	292	0.00	30.024	0	0.000	-100000.0
20120101 01:15	34.4	34.4	34.4	97	33.6	0	1	292	0.00	30.021	0	0.000	-100000.0
20120101 01:20	34.4	34.4	34.4	97	33.6	0	2	292	0.00	30.021	0	0.000	-100000.0
20120101 01:25	34.4	34.4	34.4	97	33.6	0	1	292	0.00	30.021	0	0.000	-100000.0
20120101 01:30	34.4	34.4	34.4	97	33.6	0	1	292	0.00	30.023	0	0.000	-100000.0
20120101 01:35	34.4	34.4	34.4	97	33.6	0	3	292	0.00	30.023	0	0.000	-100000.0
20120101 01:40	34.4	34.4	34.4	97	33.6	0	3	292	0.00	30.023	0	0.000	-100000.0
20120101 01:45	34.4	34.4	34.4	97	33.6	2	4	158	0.00	30.026	0	0.000	-100000.0
20120101 01:50	34.4	34.4	34.4	97	33.6	0	1	158	0.00	30.026	0	0.000	-100000.0
20120101 01:55	34.3	34.3	34.3	97	33.5	0	0	-100000	0.00	30.026	0	0.000	-100000.0
20120101 02:00	34.3	34.3	34.3	97	33.5	0	1	158	0.00	30.036	0	0.000	-100000.0
20120101 02:05	34.2	34.2	34.2	97	33.4	0	0	-100000	0.00	30.036	0	0.000	-100000.0
20120101 02:10	34.2	34.2	34.2	97	33.4	0	0	-100000	0.00	30.036	0	0.000	-100000.0
20120101 02:15	34.3	34.3	34.3	97	33.5	0	1	158	0.00	30.046	0	0.000	-100000.0
20120101 02:20	34.4	34.4	34.4	97	33.6	0	0	-100000	0.00	30.046	0	0.000	-100000.0
20120101 02:25	34.3	34.3	34.3	97	33.5	0	3	158	0.00	30.046	0	0.000	-100000.0
