--Timestamp---	Temp	Chill	HIndex	Humid	Dewpt	 Wind 	HiWind	WindDir	Rain 	Barom	Solar	 ET  	 UV 
20120428 00:00	40.1	35.9	40.1	58	26.5	6	16	315	0.00	30.094	0	0.001	-100000.0
20120428 00:05	40.2	34.8	40.2	58	26.6	8	14	315	0.00	30.094	0	0.000	-100000.0
20120428 00:10	40.3	35.0	40.3	58	26.7	8	14	315	0.00	30.094	0	0.000	-100000.0
20120428 00:15	40.4	36.2	40.4	58	26.8	6	11	338	0.00	30.095	0	0.000	-100000.0
20120428 00:20	40.3	35.5	40.3	58	26.7	7	14	338	0.00	30.095	0	0.000	-100000.0
20120428 00:25	40.2	36.7	40.2	59	27.0	5	10	292	0.00	30.095	0	0.000	-100000.0
20120428 00:30	40.2	35.4	40.2	59	27.0	7	13	338	0.00	30.094	0	0.000	-100000.0
20120428 00:35	40.2	35.4	40.2	59	27.0	7	18	315	0.00	30.094	0	0.000	-100000.0
20120428 00:40	40.3	35.5	40.3	58	26.7	7	18	292	0.00	30.094	0	0.000	-100000.0
20120428 00:45	40.2	36.7	40.2	58	26.6	5	14	315	0.00	30.094	0	0.000	-100000.0
20120428 00:50	40.1	35.9	40.1	58	26.5	6	13	315	0.00	30.094	0	0.000	-100000.0
20120428 00:55	40.2	34.8	40.2	58	26.6	8	13	315	0.00	30.094	0	0.000	-100000.0
20120428 01:00	40.3	35.0	40.3	58	26.7	8	18	292	0.00	30.096	0	0.002	-100000.0
20120428 01:05	40.3	35.0	40.3	57	26.3	8	16	292	0.00	30.096	0	0.000	-100000.0
20120428 01:10	40.5	36.4	40.5	57	26.5	6	15	338	0.00	30.096	0	0.000	-100000.0
20120428 01:15	40.5	37.9	40.5	57	26.5	4	10	315	0.00	30.093	0	0.000	-100000.0
20120428 01:20	40.5	35.7	40.5	57	26.5	7	13	270	0.00	30.093	0	0.000	-100000.0
20120428 01:25	40.6	36.5	40.6	56	26.1	6	12	0	0.00	30.093	0	0.000	-100000.0
20120428 01:30	40.5	40.5	40.5	57	26.5	2	5	270	0.00	30.092	0	0.000	-100000.0
20120428 01:35	40.5	40.5	40.5	57	26.5	3	10	270	0.00	30.092	0	0.000	-100000.0
20120428 01:40	40.4	37.8	40.4	57	26.4	4	12	315	0.00	30.092	0	0.000	-100000.0
20120428 01:45	40.5	37.1	40.5	57	26.5	5	12	315	0.00	30.092	0	0.000	-100000.0
20120428 01:50	40.4	37.8	40.4	56	26.0	4	15	338	0.00	30.092	0	0.000	-100000.0
20120428 01:55	40.5	40.5	40.5	56	26.1	3	9	315	0.00	30.092	0	0.000	-100000.0
20120428 02:00	40.6	37.2	40.6	56	26.1	5	9	0	0.00	30.092	0	0.002	-100000.0
20120428 02:05	40.6	38.0	40.6	56	26.1	4	13	292	0.00	30.092	0	0.000	-100000.0
20120428 02:10	40.6	37.2	40.6	56	26.1	5	13	292	0.00	30.092	0	0.000	-100000.0
20120428 02:15	40.5	37.1	40.5	55	25.6	5	13	292	0.00	30.093	0	0.000	-100000.0
20120428 02:20	40.4	40.4	40.4	56	26.0	3	6	270	0.00	30.093	0	0.000	-100000.0
20120428 02:25	40.3	36.8	40.3	56	25.9	5	13	315	0.00	30.093	0	0.000	-100000.0
20120428 02:30	40.2	36.7	40.2	56	25.8	5	10	270	0.00	30.093	0	0.000	-100000.0
20120428 02:35	40.1	35.3	40.1	56	25.7	7	21	315	0.00	30.093	0	0.000	-100000.0
20120428 02:40	40.3	33.6	40.3	55	25.4	11	22	292	0.00	30.093	0	0.000	-100000.0
20120428 02:45	40.1	36.6	40.1	55	25.2	5	14	315	0.00	30.090	0	0.000	-100000.0
20120428 02:50	40.0	34.6	40.0	55	25.2	8	18	292	0.00	30.090	0	0.000	-100000.0
20120428 02:55	39.8	35.5	39.8	56	25.4	6	15	315	0.00	30.090	0	0.000	-100000.0
20120428 03:00	39.7	35.4	39.7	56	25.3	6	14	315	0.00	30.091	0	0.002	-100000.0
20120428 03:05	39.6	36.0	39.6	57	25.6	5	12	292	0.00	30.091	0	0.000	-100000.0
20120428 03:10	39.5	35.2	39.5	56	25.1	6	12	292	0.00	30.091	0	0.000	-100000.0
20120428 03:15	39.5	33.5	39.5	57	25.5	9	16	292	0.00	30.089	0	0.000	-100000.0
20120428 03:20	39.4	33.4	39.4	56	25.0	9	20	315	0.00	30.089	0	0.000	-100000.0
20120428 03:25	39.5	34.5	39.5	55	24.7	7	15	338	0.00	30.089	0	0.000	-100000.0
20120428 03:30	39.4	33.9	39.4	56	25.0	8	16	338	0.00	30.085	0	0.000	-100000.0
20120428 03:35	39.3	34.9	39.3	56	24.9	6	13	315	0.00	30.085	0	0.000	-100000.0
20120428 03:40	39.1	34.1	39.1	56	24.7	7	14	0	0.00	30.085	0	0.000	-100000.0
20120428 03:45	39.0	34.6	39.0	56	24.7	6	15	315	0.00	30.088	0	0.000	-100000.0
20120428 03:50	38.9	36.0	38.9	57	25.0	4	9	270	0.00	30.088	0	0.000	-100000.0
20120428 03:55	38.8	35.1	38.8	56	24.5	5	17	248	0.00	30.088	0	0.000	-100000.0
20120428 04:00	38.8	33.7	38.8	56	24.5	7	15	338	0.00	30.094	0	0.002	-100000.0
20120428 04:05	38.6	38.6	38.6	56	24.3	3	10	338	0.00	30.094	0	0.000	-100000.0
20120428 04:10	38.4	38.4	38.4	57	24.5	2	7	315	0.00	30.094	0	0.000	-100000.0
20120428 04:15	38.3	38.3	38.3	57	24.4	2	6	315	0.00	30.094	0	0.000	-100000.0
20120428 04:20	38.2	38.2	38.2	57	24.3	3	10	338	0.00	30.094	0	0.000	-100000.0
20120428 04:25	38.1	38.1	38.1	57	24.2	1	5	225	0.00	30.094	0	0.000	-100000.0
20120428 04:30	38.1	35.1	38.1	55	23.4	4	9	315	0.00	30.097	0	0.000	-100000.0
20120428 04:35	38.1	34.2	38.1	55	23.4	5	14	315	0.00	30.097	0	0.000	-100000.0
