--Timestamp---	Temp	Chill	HIndex	Humid	Dewpt	 Wind 	HiWind	WindDir	Rain 	Barom	Solar	 ET  	 UV 
20120403 00:00	38.6	38.6	38.6	42	17.5	1	4	22	0.00	29.868	0	0.001	-100000.0
20120403 00:05	38.1	38.1	38.1	44	18.1	0	1	22	0.00	29.868	0	0.000	-100000.0
20120403 00:10	37.4	37.4	37.4	44	17.5	0	0	-100000	0.00	29.868	0	0.000	-100000.0
20120403 00:15	36.7	36.7	36.7	47	18.4	0	3	22	0.00	29.875	0	0.000	-100000.0
20120403 00:20	36.0	36.0	36.0	50	19.2	1	3	22	0.00	29.875	0	0.000	-100000.0
20120403 00:25	36.2	36.2	36.2	49	18.9	0	3	22	0.00	29.875	0	0.000	-100000.0
20120403 00:30	36.4	36.4	36.4	49	19.1	0	0	-100000	0.00	29.876	0	0.000	-100000.0
20120403 00:35	36.5	36.5	36.5	48	18.7	0	0	-100000	0.00	29.876	0	0.000	-100000.0
20120403 00:40	36.4	36.4	36.4	48	18.6	0	0	-100000	0.00	29.876	0	0.000	-100000.0
20120403 00:45	36.2	36.2	36.2	49	18.9	0	0	-100000	0.00	29.876	0	0.000	-100000.0
20120403 00:50	36.2	36.2	36.2	48	18.4	0	1	22	0.00	29.876	0	0.000	-100000.0
20120403 00:55	37.0	37.0	37.0	47	18.7	0	1	22	0.00	29.876	0	0.000	-100000.0
20120403 01:00	37.3	37.3	37.3	47	18.9	0	1	22	0.00	29.874	0	0.001	-100000.0
20120403 01:05	37.1	37.1	37.1	46	18.3	0	1	22	0.00	29.874	0	0.000	-100000.0
20120403 01:10	36.9	36.9	36.9	47	18.6	0	0	-100000	0.00	29.874	0	0.000	-100000.0
20120403 01:15	36.4	36.4	36.4	48	18.6	0	0	-100000	0.00	29.876	0	0.000	-100000.0
20120403 01:20	35.7	35.7	35.7	51	19.4	0	0	-100000	0.00	29.876	0	0.000	-100000.0
20120403 01:25	34.8	34.8	34.8	51	18.5	0	0	-100000	0.00	29.876	0	0.000	-100000.0
20120403 01:30	34.4	34.4	34.4	53	19.1	0	0	-100000	0.00	29.876	0	0.000	-100000.0
20120403 01:35	34.0	34.0	34.0	54	19.1	0	0	-100000	0.00	29.876	0	0.000	-100000.0
20120403 01:40	33.4	33.4	33.4	57	19.8	0	0	-100000	0.00	29.876	0	0.000	-100000.0
20120403 01:45	32.8	32.8	32.8	59	20.1	0	1	22	0.00	29.876	0	0.000	-100000.0
20120403 01:50	32.1	32.1	32.1	60	19.8	0	0	-100000	0.00	29.876	0	0.000	-100000.0
20120403 01:55	32.0	32.0	32.0	61	20.1	0	0	-100000	0.00	29.876	0	0.000	-100000.0
20120403 02:00	32.1	32.1	32.1	62	20.6	0	1	22	0.00	29.877	0	0.001	-100000.0
20120403 02:05	32.0	32.0	32.0	63	20.9	0	0	-100000	0.00	29.877	0	0.000	-100000.0
20120403 02:10	31.5	31.5	31.5	64	20.7	0	0	-100000	0.00	29.877	0	0.000	-100000.0
20120403 02:15	31.1	31.1	31.1	65	20.7	0	0	-100000	0.00	29.877	0	0.000	-100000.0
20120403 02:20	31.1	31.1	31.1	65	20.7	0	1	22	0.00	29.877	0	0.000	-100000.0
20120403 02:25	31.2	31.2	31.2	65	20.8	0	1	22	0.00	29.877	0	0.000	-100000.0
20120403 02:30	31.2	31.2	31.2	64	20.5	0	0	-100000	0.00	29.869	0	0.000	-100000.0
20120403 02:35	31.1	31.1	31.1	63	20.0	0	0	-100000	0.00	29.869	0	0.000	-100000.0
20120403 02:40	31.1	31.1	31.1	66	21.1	1	2	22	0.00	29.869	0	0.000	-100000.0
20120403 02:45	30.7	30.7	30.7	67	21.1	0	1	22	0.00	29.867	0	0.000	-100000.0
20120403 02:50	30.3	30.3	30.3	67	20.7	0	1	22	0.00	29.867	0	0.000	-100000.0
20120403 02:55	29.8	29.8	29.8	68	20.5	0	0	-100000	0.00	29.867	0	0.000	-100000.0
20120403 03:00	29.6	29.6	29.6	69	20.7	0	0	-100000	0.00	29.862	0	0.001	-100000.0
20120403 03:05	29.6	29.6	29.6	70	21.0	0	0	-100000	0.00	29.862	0	0.000	-100000.0
