--Timestamp---	Temp	Chill	HIndex	Humid	Dewpt	 Wind 	HiWind	WindDir	Rain 	Barom	Solar	 ET  	 UV 
20120408 00:00	45.6	45.6	45.6	49	27.6	1	5	22	0.00	30.036	0	0.002	-100000.0
20120408 00:05	45.6	45.6	45.6	49	27.6	0	4	22	0.00	30.036	0	0.000	-100000.0
20120408 00:10	45.5	45.5	45.5	49	27.5	0	3	22	0.00	30.036	0	0.000	-100000.0
20120408 00:15	45.4	45.4	45.4	50	27.9	0	1	22	0.00	30.030	0	0.000	-100000.0
20120408 00:20	45.4	45.4	45.4	49	27.4	0	2	22	0.00	30.030	0	0.000	-100000.0
20120408 00:25	45.3	45.3	45.3	50	27.8	0	1	22	0.00	30.030	0	0.000	-100000.0
20120408 00:30	45.2	45.2	45.2	50	27.7	0	1	22	0.00	30.029	0	0.000	-100000.0
20120408 00:35	45.0	45.0	45.0	50	27.5	0	1	22	0.00	30.029	0	0.000	-100000.0
20120408 00:40	45.0	45.0	45.0	50	27.5	0	1	22	0.00	30.029	0	0.000	-100000.0
20120408 00:45	44.9	44.9	44.9	51	27.9	0	2	22	0.00	30.027	0	0.000	-100000.0
20120408 00:50	44.8	44.8	44.8	51	27.8	0	0	-100000	0.00	30.027	0	0.000	-100000.0
20120408 00:55	44.7	44.7	44.7	50	27.2	0	2	22	0.00	30.027	0	0.000	-100000.0
20120408 01:00	44.6	44.6	44.6	50	27.1	0	1	22	0.00	30.021	0	0.001	-100000.0
20120408 01:05	44.5	44.5	44.5	50	27.0	0	1	22	0.00	30.021	0	0.000	-100000.0
20120408 01:10	44.5	44.5	44.5	50	27.0	0	1	22	0.00	30.021	0	0.000	-100000.0
20120408 01:15	44.4	44.4	44.4	50	26.9	0	0	-100000	0.00	30.015	0	0.000	-100000.0
20120408 01:20	44.3	44.3	44.3	51	27.3	0	1	22	0.00	30.015	0	0.000	-100000.0
20120408 01:25	44.2	44.2	44.2	51	27.2	0	1	22	0.00	30.015	0	0.000	-100000.0
20120408 01:30	44.2	44.2	44.2	52	27.7	0	0	-100000	0.00	30.011	0	0.000	-100000.0
20120408 01:35	44.0	44.0	44.0	52	27.5	0	0	-100000	0.00	30.011	0	0.000	-100000.0
20120408 01:40	43.9	43.9	43.9	52	27.4	0	1	22	0.00	30.011	0	0.000	-100000.0
20120408 01:45	43.9	43.9	43.9	51	27.0	0	0	-100000	0.00	30.008	0	0.000	-100000.0
20120408 01:50	44.0	44.0	44.0	51	27.0	0	0	-100000	0.00	30.008	0	0.000	-100000.0
20120408 01:55	44.1	44.1	44.1	51	27.1	0	0	-100000	0.00	30.008	0	0.000	-100000.0
20120408 02:00	44.1	44.1	44.1	50	26.7	0	1	22	0.00	29.999	0	0.001	-100000.0
20120408 02:05	44.0	44.0	44.0	51	27.0	0	3	22	0.00	29.999	0	0.000	-100000.0
20120408 02:10	43.9	43.9	43.9	51	27.0	0	1	22	0.00	29.999	0	0.000	-100000.0
20120408 02:15	43.8	43.8	43.8	52	27.3	0	0	-100000	0.00	29.995	0	0.000	-100000.0
20120408 02:20	43.7	43.7	43.7	52	27.2	0	0	-100000	0.00	29.995	0	0.000	-100000.0
20120408 02:25	43.7	43.7	43.7	52	27.2	0	1	22	0.00	29.995	0	0.000	-100000.0
20120408 02:30	43.6	43.6	43.6	53	27.6	0	1	22	0.00	29.982	0	0.000	-100000.0
20120408 02:35	43.4	43.4	43.4	53	27.4	0	0	-100000	0.00	29.982	0	0.000	-100000.0
20120408 02:40	43.1	43.1	43.1	53	27.1	0	1	22	0.00	29.982	0	0.000	-100000.0
20120408 02:45	43.0	43.0	43.0	54	27.5	0	1	22	0.00	29.978	0	0.000	-100000.0
20120408 02:50	42.8	42.8	42.8	54	27.3	0	1	22	0.00	29.978	0	0.000	-100000.0
20120408 02:55	42.8	42.8	42.8	55	27.8	0	0	-100000	0.00	29.978	0	0.000	-100000.0
20120408 03:00	42.7	42.7	42.7	56	28.1	0	0	-100000	0.00	29.966	0	0.001	-100000.0
20120408 03:05	42.6	42.6	42.6	56	28.0	0	0	-100000	0.00	29.966	0	0.000	-100000.0
20120408 03:10	42.2	42.2	42.2	58	28.5	0	1	22	0.00	29.966	0	0.000	-100000.0
20120408 03:15	41.9	41.9	41.9	59	28.6	0	0	-100000	0.00	29.962	0	0.000	-100000.0
20120408 03:20	41.8	41.8	41.8	58	28.1	0	1	22	0.00	29.962	0	0.000	-100000.0
20120408 03:25	41.7	41.7	41.7	58	28.0	0	0	-100000	0.00	29.962	0	0.000	-100000.0
20120408 03:30	41.8	41.8	41.8	58	28.1	0	0	-100000	0.00	29.954	0	0.000	-100000.0
20120408 03:35	41.7	41.7	41.7	58	28.0	0	0	-100000	0.00	29.954	0	0.000	-100000.0
20120408 03:40	41.6	41.6	41.6	58	27.9	0	1	22	0.00	29.954	0	0.000	-100000.0
20120408 03:45	41.5	41.5	41.5	58	27.8	0	1	22	0.00	29.951	0	0.000	-100000.0
20120408 03:50	41.5	41.5	41.5	57	27.4	0	0	-100000	0.00	29.951	0	0.000	-100000.0
20120408 03:55	41.6	41.6	41.6	56	27.1	0	0	-100000	0.00	29.951	0	0.000	-100000.0
20120408 04:00	41.7	41.7	41.7	56	27.2	0	0	-100000	0.00	29.949	0	0.001	-100000.0
20120408 04:05	41.8	41.8	41.8	56	27.3	0	0	-100000	0.00	29.949	0	0.000	-100000.0
20120408 04:10	41.9	41.9	41.9	56	27.4	0	0	-100000	0.00	29.949	0	0.000	-100000.0
20120408 04:15	41.8	41.8	41.8	59	28.5	0	0	-100000	0.00	29.943	0	0.000	-100000.0
20120408 04:20	41.6	41.6	41.6	59	28.3	0	0	-100000	0.00	29.943	0	0.000	-100000.0
20120408 04:25	41.3	41.3	41.3	60	28.5	0	1	22	0.00	29.943	0	0.000	-100000.0
20120408 04:30	41.2	41.2	41.2	61	28.8	0	1	22	0.00	29.937	0	0.000	-100000.0
20120408 04:35	41.1	41.1	41.1	61	28.7	0	0	-100000	0.00	29.937	0	0.000	-100000.0
20120408 04:40	41.0	41.0	41.0	60	28.2	0	0	-100000	0.00	29.937	0	0.000	-100000.0
20120408 04:45	41.0	41.0	41.0	60	28.2	0	0	-100000	0.00	29.937	0	0.000	-100000.0
20120408 04:50	41.0	41.0	41.0	60	28.2	0	0	-100000	0.00	29.937	0	0.000	-100000.0
20120408 04:55	41.0	41.0	41.0	60	28.2	0	0	-100000	0.00	29.937	0	0.000	-100000.0
20120408 05:00	41.1	41.1	41.1	60	28.3	0	1	22	0.00	29.935	0	0.001	-100000.0
20120408 05:05	40.9	40.9	40.9	62	28.9	0	1	22	0.00	29.935	0	0.000	-100000.0
20120408 05:10	40.8	40.8	40.8	62	28.8	0	2	22	0.00	29.935	0	0.000	-100000.0
20120408 05:15	40.8	40.8	40.8	62	28.8	0	3	22	0.00	29.933	0	0.000	-100000.0
20120408 05:20	40.8	40.8	40.8	62	28.8	0	1	22	0.00	29.933	0	0.000	-100000.0
20120408 05:25	40.9	40.9	40.9	62	28.9	0	1	22	0.00	29.933	0	0.000	-100000.0
20120408 05:30	41.0	41.0	41.0	63	29.4	0	1	22	0.00	29.924	0	0.000	-100000.0
20120408 05:35	41.0	41.0	41.0	63	29.4	0	0	-100000	0.00	29.924	0	0.000	-100000.0
20120408 05:40	41.0	41.0	41.0	64	29.8	0	0	-100000	0.00	29.924	0	0.000	-100000.0
20120408 05:45	41.0	41.0	41.0	63	29.4	0	0	-100000	0.00	29.920	0	0.000	-100000.0
20120408 05:50	41.0	41.0	41.0	63	29.4	0	0	-100000	0.00	29.920	0	0.000	-100000.0
20120408 05:55	40.9	40.9	40.9	64	29.7	0	0	-100000	0.00	29.920	0	0.000	-100000.0
20120408 06:00	40.8	40.8	40.8	64	29.6	0	0	-100000	0.00	29.921	0	0.001	-100000.0
20120408 06:05	40.8	40.8	40.8	64	29.6	0	1	22	0.00	29.921	0	0.000	-100000.0
20120408 06:10	40.9	40.9	40.9	64	29.7	0	0	-100000	0.00	29.921	0	0.000	-100000.0
20120408 06:15	40.6	40.6	40.6	65	29.8	0	0	-100000	0.00	29.920	0	0.000	-100000.0
20120408 06:20	40.5	40.5	40.5	65	29.7	0	0	-100000	0.00	29.920	0	0.000	-100000.0
20120408 06:25	40.2	40.2	40.2	66	29.8	0	1	22	0.00	29.920	0	0.000	-100000.0
20120408 06:30	40.0	40.0	40.0	67	29.9	0	0	-100000	0.00	29.925	2	0.000	-100000.0
20120408 06:35	39.9	39.9	39.9	68	30.2	0	0	-100000	0.00	29.925	6	0.000	-100000.0
20120408 06:40	39.8	39.8	39.8	68	30.1	0	0	-100000	0.00	29.925	9	0.000	-100000.0
20120408 06:45	39.8	39.8	39.8	68	30.1	0	0	-100000	0.00	29.930	12	0.000	-100000.0
20120408 06:50	39.9	39.9	39.9	68	30.2	0	0	-100000	0.00	29.930	15	0.000	-100000.0
20120408 06:55	39.9	39.9	39.9	68	30.2	0	0	-100000	0.00	29.930	19	0.000	-100000.0
20120408 07:00	39.8	39.8	39.8	69	30.5	0	0	-100000	0.00	29.920	23	0.000	-100000.0
20120408 07:05	39.8	39.8	39.8	69	30.5	0	1	22	0.00	29.920	29	0.000	-100000.0
20120408 07:10	39.9	39.9	39.9	69	30.6	0	1	22	0.00	29.920	36	0.000	-100000.0
20120408 07:15	40.0	40.0	40.0	68	30.3	0	1	22	0.00	29.919	44	0.000	-100000.0
20120408 07:20	40.2	40.2	40.2	68	30.5	0	2	22	0.00	29.919	53	0.000	-100000.0
20120408 07:25	40.0	40.0	40.0	69	30.7	0	1	22	0.00	29.919	59	0.000	-100000.0
20120408 07:30	40.0	40.0	40.0	70	31.0	0	1	22	0.00	29.916	60	0.000	-100000.0
20120408 07:35	40.0	40.0	40.0	70	31.0	0	2	22	0.00	29.916	62	0.000	-100000.0
20120408 07:40	40.2	40.2	40.2	70	31.2	0	2	22	0.00	29.916	67	0.000	-100000.0
20120408 07:45	40.4	40.4	40.4	69	31.0	0	1	22	0.00	29.909	78	0.000	-100000.0
20120408 07:50	40.8	40.8	40.8	69	31.4	0	1	22	0.00	29.909	95	0.000	-100000.0
20120408 07:55	41.1	41.1	41.1	68	31.4	0	1	22	0.00	29.909	113	0.000	-100000.0
20120408 08:00	41.3	41.3	41.3	66	30.8	1	4	22	0.00	29.912	128	0.001	-100000.0
20120408 08:05	41.5	41.5	41.5	65	30.6	0	3	22	0.00	29.912	134	0.000	-100000.0
20120408 08:10	41.7	41.7	41.7	64	30.4	0	2	22	0.00	29.912	132	0.000	-100000.0
20120408 08:15	42.0	42.0	42.0	62	29.9	1	5	22	0.00	29.909	133	0.000	-100000.0
20120408 08:20	42.4	42.4	42.4	61	29.9	2	5	0	0.00	29.909	147	0.000	-100000.0
20120408 08:25	42.8	42.8	42.8	60	29.9	3	9	0	0.00	29.909	161	0.000	-100000.0
20120408 08:30	43.1	40.9	43.1	57	28.9	4	11	270	0.00	29.907	168	0.000	-100000.0
20120408 08:35	43.3	40.3	43.3	56	28.7	5	11	270	0.00	29.907	168	0.000	-100000.0
20120408 08:40	43.4	39.8	43.4	54	27.9	6	12	338	0.00	29.907	174	0.000	-100000.0
20120408 08:45	43.4	39.2	43.4	53	27.4	7	12	338	0.00	29.908	189	0.000	-100000.0
20120408 08:50	43.6	40.7	43.6	54	28.1	5	9	338	0.00	29.908	198	0.000	-100000.0
20120408 08:55	43.8	40.9	43.8	53	27.8	5	10	315	0.00	29.908	201	0.000	-100000.0
20120408 09:00	44.1	44.1	44.1	53	28.1	3	13	338	0.00	29.905	205	0.004	-100000.0
20120408 09:05	44.1	41.3	44.1	52	27.6	5	11	338	0.00	29.905	224	0.000	-100000.0
20120408 09:10	44.3	41.5	44.3	51	27.3	5	10	0	0.00	29.905	238	0.000	-100000.0
20120408 09:15	44.6	42.6	44.6	52	28.1	4	10	315	0.00	29.906	238	0.000	-100000.0
20120408 09:20	44.4	42.4	44.4	51	27.4	4	12	0	0.00	29.906	244	0.000	-100000.0
20120408 09:25	44.8	44.8	44.8	51	27.8	3	9	315	0.00	29.906	253	0.000	-100000.0
20120408 09:30	44.8	42.9	44.8	50	27.3	4	10	0	0.00	29.905	270	0.000	-100000.0
20120408 09:35	45.0	45.0	45.0	51	28.0	3	9	0	0.00	29.905	278	0.000	-100000.0
20120408 09:40	45.0	42.3	45.0	50	27.5	5	11	338	0.00	29.905	291	0.000	-100000.0
20120408 09:45	45.0	43.1	45.0	50	27.5	4	13	0	0.00	29.905	301	0.000	-100000.0
20120408 09:50	45.2	45.2	45.2	50	27.7	3	10	0	0.00	29.905	330	0.000	-100000.0
20120408 09:55	45.4	42.8	45.4	50	27.9	5	12	338	0.00	29.905	379	0.000	-100000.0
20120408 10:00	45.6	43.8	45.6	50	28.0	4	18	292	0.00	29.890	386	0.006	-100000.0
20120408 10:05	45.6	42.4	45.6	49	27.6	6	12	292	0.00	29.890	427	0.000	-100000.0
20120408 10:10	45.9	45.9	45.9	49	27.8	3	6	338	0.00	29.890	451	0.000	-100000.0
20120408 10:15	46.5	44.1	46.5	49	28.4	5	10	0	0.00	29.882	546	0.000	-100000.0
20120408 10:20	46.2	43.1	46.2	48	27.6	6	11	270	0.00	29.882	636	0.000	-100000.0
20120408 10:25	46.4	46.4	46.4	48	27.8	3	9	292	0.00	29.882	629	0.000	-100000.0
20120408 10:30	46.9	46.9	46.9	46	27.2	3	9	45	0.00	29.874	440	0.000	-100000.0
20120408 10:35	46.9	46.9	46.9	47	27.7	1	9	22	0.00	29.874	277	0.000	-100000.0
20120408 10:40	46.7	46.7	46.7	47	27.6	3	6	338	0.00	29.874	230	0.000	-100000.0
20120408 10:45	46.9	45.3	46.9	47	27.7	4	11	248	0.00	29.864	246	0.000	-100000.0
20120408 10:50	47.4	47.4	47.4	47	28.2	3	9	270	0.00	29.864	380	0.000	-100000.0
20120408 10:55	47.5	44.7	47.5	44	26.7	6	16	0	0.00	29.864	394	0.000	-100000.0
20120408 11:00	47.7	43.6	47.7	43	26.3	9	15	0	0.00	29.858	472	0.009	-100000.0
20120408 11:05	48.3	44.7	48.3	43	26.9	8	16	315	0.00	29.858	469	0.000	-100000.0
20120408 11:10	48.4	45.3	48.4	42	26.4	7	15	0	0.00	29.858	438	0.000	-100000.0
20120408 11:15	48.5	44.9	48.5	42	26.5	8	13	338	0.00	29.849	431	0.000	-100000.0
20120408 11:20	48.7	46.7	48.7	41	26.1	5	11	338	0.00	29.849	439	0.000	-100000.0
20120408 11:25	48.9	45.4	48.9	41	26.2	8	17	315	0.00	29.849	352	0.000	-100000.0
20120408 11:30	48.6	45.1	48.6	42	26.6	8	15	315	0.00	29.841	315	0.000	-100000.0
20120408 11:35	48.8	45.7	48.8	42	26.7	7	13	270	0.00	29.841	293	0.000	-100000.0
20120408 11:40	49.0	45.5	49.0	42	26.9	8	16	292	0.00	29.841	255	0.000	-100000.0
20120408 11:45	48.6	45.5	48.6	42	26.6	7	16	315	0.00	29.833	252	0.000	-100000.0
20120408 11:50	48.6	45.5	48.6	42	26.6	7	18	0	0.00	29.833	286	0.000	-100000.0
20120408 11:55	48.5	45.4	48.5	42	26.5	7	17	315	0.00	29.833	265	0.000	-100000.0
20120408 12:00	48.4	45.3	48.4	42	26.4	7	14	0	0.00	29.827	226	0.009	-100000.0
20120408 12:05	48.7	45.2	48.7	42	26.6	8	15	338	0.00	29.827	265	0.000	-100000.0
20120408 12:10	48.7	43.8	48.7	41	26.1	12	22	0	0.00	29.827	270	0.000	-100000.0
20120408 12:15	48.7	44.4	48.7	41	26.1	10	19	292	0.00	29.818	240	0.000	-100000.0
