--Timestamp---	Temp	Chill	HIndex	Humid	Dewpt	 Wind 	HiWind	WindDir	Rain 	Barom	Solar	 ET  	 UV 
20120413 00:00	43.9	43.9	43.9	69	34.4	0	2	45	0.00	30.147	0	0.001	-100000.0
20120413 00:05	43.8	43.8	43.8	69	34.3	0	2	45	0.00	30.147	0	0.000	-100000.0
20120413 00:10	43.5	43.5	43.5	70	34.4	0	0	-100000	0.00	30.147	0	0.000	-100000.0
20120413 00:15	43.5	43.5	43.5	70	34.4	0	1	45	0.00	30.148	0	0.000	-100000.0
20120413 00:20	43.4	43.4	43.4	70	34.3	0	0	-100000	0.00	30.148	0	0.000	-100000.0
20120413 00:25	43.1	43.1	43.1	71	34.3	0	1	45	0.00	30.148	0	0.000	-100000.0
20120413 00:30	42.8	42.8	42.8	71	34.1	0	1	45	0.00	30.149	0	0.000	-100000.0
20120413 00:35	42.8	42.8	42.8	72	34.4	0	1	45	0.00	30.149	0	0.000	-100000.0
20120413 00:40	42.6	42.6	42.6	71	33.9	0	0	-100000	0.00	30.149	0	0.000	-100000.0
20120413 00:45	42.0	42.0	42.0	72	33.6	0	0	-100000	0.00	30.150	0	0.000	-100000.0
20120413 00:50	41.2	41.2	41.2	73	33.2	0	0	-100000	0.00	30.150	0	0.000	-100000.0
20120413 00:55	40.9	40.9	40.9	75	33.6	0	0	-100000	0.00	30.150	0	0.000	-100000.0
20120413 01:00	40.7	40.7	40.7	75	33.4	0	1	45	0.00	30.153	0	0.001	-100000.0
20120413 01:05	40.3	40.3	40.3	76	33.3	0	0	-100000	0.00	30.153	0	0.000	-100000.0
20120413 01:10	39.9	39.9	39.9	77	33.3	0	0	-100000	0.00	30.153	0	0.000	-100000.0
20120413 01:15	40.0	40.0	40.0	78	33.7	0	0	-100000	0.00	30.154	0	0.000	-100000.0
20120413 01:20	40.1	40.1	40.1	78	33.8	0	0	-100000	0.00	30.154	0	0.000	-100000.0
20120413 01:25	40.1	40.1	40.1	79	34.1	0	0	-100000	0.00	30.154	0	0.000	-100000.0
