--Timestamp---	Temp	Chill	HIndex	Humid	Dewpt	 Wind 	HiWind	WindDir	Rain 	Barom	Solar	 ET  	 UV 
20120426 00:00	44.6	44.6	44.6	61	32.0	0	2	292	0.00	29.945	0	0.001	-100000.0
20120426 00:05	44.6	44.6	44.6	60	31.6	0	1	292	0.00	29.945	0	0.000	-100000.0
20120426 00:10	44.5	44.5	44.5	60	31.5	1	3	292	0.00	29.945	0	0.000	-100000.0
20120426 00:15	44.5	44.5	44.5	60	31.5	0	3	292	0.00	29.938	0	0.000	-100000.0
20120426 00:20	44.5	44.5	44.5	60	31.5	1	3	292	0.00	29.938	0	0.000	-100000.0
20120426 00:25	44.4	44.4	44.4	61	31.8	1	3	292	0.00	29.938	0	0.000	-100000.0
20120426 00:30	44.2	44.2	44.2	61	31.6	1	4	292	0.00	29.945	0	0.000	-100000.0
20120426 00:35	43.9	43.9	43.9	62	31.7	2	5	292	0.00	29.945	0	0.000	-100000.0
20120426 00:40	43.8	43.8	43.8	62	31.6	2	6	292	0.00	29.945	0	0.000	-100000.0
20120426 00:45	43.6	43.6	43.6	62	31.5	0	3	225	0.00	29.947	0	0.000	-100000.0
20120426 00:50	43.5	43.5	43.5	63	31.8	0	4	225	0.00	29.947	0	0.000	-100000.0
20120426 00:55	43.3	43.3	43.3	64	32.0	0	1	225	0.00	29.947	0	0.000	-100000.0
20120426 01:00	43.1	43.1	43.1	63	31.4	0	0	-100000	0.00	29.949	0	0.000	-100000.0
20120426 01:05	43.2	43.2	43.2	63	31.5	0	0	-100000	0.00	29.949	0	0.001	-100000.0
20120426 01:10	42.9	42.9	42.9	64	31.6	0	0	-100000	0.00	29.949	0	0.000	-100000.0
20120426 01:15	42.7	42.7	42.7	65	31.8	0	0	-100000	0.00	29.949	0	0.000	-100000.0
20120426 01:20	42.3	42.3	42.3	66	31.8	0	0	-100000	0.00	29.949	0	0.000	-100000.0
20120426 01:25	41.8	41.8	41.8	67	31.7	0	1	225	0.00	29.949	0	0.000	-100000.0
20120426 01:30	41.6	41.6	41.6	68	31.8	0	0	-100000	0.00	29.948	0	0.000	-100000.0
20120426 01:35	40.9	40.9	40.9	69	31.5	0	0	-100000	0.00	29.948	0	0.000	-100000.0
20120426 01:40	40.9	40.9	40.9	70	31.9	0	1	225	0.00	29.948	0	0.000	-100000.0
20120426 01:45	41.1	41.1	41.1	70	32.1	0	0	-100000	0.00	29.948	0	0.000	-100000.0
20120426 01:50	41.0	41.0	41.0	70	32.0	0	1	225	0.00	29.948	0	0.000	-100000.0
20120426 01:55	41.0	41.0	41.0	70	32.0	0	0	-100000	0.00	29.948	0	0.000	-100000.0
20120426 02:00	40.8	40.8	40.8	70	31.8	0	0	-100000	0.00	29.949	0	0.000	-100000.0
20120426 02:05	40.6	40.6	40.6	71	31.9	0	0	-100000	0.00	29.949	0	0.001	-100000.0
20120426 02:10	40.3	40.3	40.3	71	31.7	0	0	-100000	0.00	29.949	0	0.000	-100000.0
20120426 02:15	39.9	39.9	39.9	72	31.6	0	1	225	0.00	29.942	0	0.000	-100000.0
20120426 02:20	39.9	39.9	39.9	73	32.0	0	2	225	0.00	29.942	0	0.000	-100000.0
20120426 02:25	39.7	39.7	39.7	73	31.8	0	0	-100000	0.00	29.942	0	0.000	-100000.0
20120426 02:30	39.3	39.3	39.3	74	31.7	0	1	225	0.00	29.940	0	0.000	-100000.0
20120426 02:35	38.6	38.6	38.6	75	31.4	0	2	225	0.00	29.940	0	0.000	-100000.0
20120426 02:40	38.5	38.5	38.5	76	31.6	0	1	225	0.00	29.940	0	0.000	-100000.0
20120426 02:45	38.9	38.9	38.9	75	31.7	0	1	225	0.00	29.943	0	0.000	-100000.0
20120426 02:50	39.2	39.2	39.2	75	32.0	0	0	-100000	0.00	29.943	0	0.000	-100000.0
20120426 02:55	39.4	39.4	39.4	75	32.1	0	0	-100000	0.00	29.943	0	0.000	-100000.0
20120426 03:00	39.0	39.0	39.0	75	31.8	0	0	-100000	0.00	29.943	0	0.001	-100000.0
20120426 03:05	38.0	38.0	38.0	76	31.1	0	0	-100000	0.00	29.943	0	0.000	-100000.0
20120426 03:10	37.0	37.0	37.0	79	31.1	0	0	-100000	0.00	29.943	0	0.000	-100000.0
20120426 03:15	36.4	36.4	36.4	80	30.8	0	0	-100000	0.00	29.948	0	0.000	-100000.0
20120426 03:20	36.1	36.1	36.1	82	31.1	0	2	225	0.00	29.948	0	0.000	-100000.0
20120426 03:25	36.0	36.0	36.0	83	31.3	0	0	-100000	0.00	29.948	0	0.000	-100000.0
20120426 03:30	35.8	35.8	35.8	83	31.2	0	0	-100000	0.00	29.950	0	0.000	-100000.0
20120426 03:35	35.6	35.6	35.6	84	31.3	0	1	225	0.00	29.950	0	0.000	-100000.0
