--Timestamp---	Temp	Chill	HIndex	Humid	Dewpt	 Wind 	HiWind	WindDir	Rain 	Barom	Solar	 ET  	 UV 
20120429 00:00	45.9	45.9	45.9	40	23.0	0	1	315	0.00	30.156	0	0.002	-100000.0
20120429 00:05	45.8	45.8	45.8	40	22.9	0	1	315	0.00	30.156	0	0.000	-100000.0
20120429 00:10	45.7	45.7	45.7	41	23.4	0	1	315	0.00	30.156	0	0.000	-100000.0
20120429 00:15	45.5	45.5	45.5	42	23.8	0	1	315	0.00	30.154	0	0.000	-100000.0
20120429 00:20	45.3	45.3	45.3	42	23.6	0	3	315	0.00	30.154	0	0.000	-100000.0
20120429 00:25	45.1	45.1	45.1	42	23.4	1	2	315	0.00	30.154	0	0.000	-100000.0
20120429 00:30	45.1	45.1	45.1	42	23.4	1	3	315	0.00	30.163	0	0.000	-100000.0
20120429 00:35	45.0	45.0	45.0	43	23.9	0	2	315	0.00	30.163	0	0.000	-100000.0
20120429 00:40	44.9	44.9	44.9	43	23.8	0	3	315	0.00	30.163	0	0.000	-100000.0
20120429 00:45	44.6	44.6	44.6	43	23.5	0	1	315	0.00	30.161	0	0.000	-100000.0
20120429 00:50	44.5	44.5	44.5	43	23.4	0	1	315	0.00	30.161	0	0.000	-100000.0
20120429 00:55	44.3	44.3	44.3	43	23.2	0	1	315	0.00	30.161	0	0.000	-100000.0
20120429 01:00	44.3	44.3	44.3	43	23.2	0	3	315	0.00	30.161	0	0.001	-100000.0
20120429 01:05	44.2	44.2	44.2	42	22.6	0	1	315	0.00	30.161	0	0.000	-100000.0
20120429 01:10	44.1	44.1	44.1	42	22.5	0	3	315	0.00	30.161	0	0.000	-100000.0
20120429 01:15	44.0	44.0	44.0	42	22.4	0	1	315	0.00	30.158	0	0.000	-100000.0
20120429 01:20	43.8	43.8	43.8	43	22.8	0	3	315	0.00	30.158	0	0.000	-100000.0
20120429 01:25	43.5	43.5	43.5	43	22.5	0	3	315	0.00	30.158	0	0.000	-100000.0
20120429 01:30	43.4	43.4	43.4	42	21.9	2	7	338	0.00	30.153	0	0.000	-100000.0
20120429 01:35	43.3	43.3	43.3	43	22.3	0	2	0	0.00	30.153	0	0.000	-100000.0
20120429 01:40	43.0	43.0	43.0	43	22.1	0	3	0	0.00	30.153	0	0.000	-100000.0
20120429 01:45	42.7	42.7	42.7	44	22.3	1	4	0	0.00	30.152	0	0.000	-100000.0
20120429 01:50	42.6	42.6	42.6	43	21.7	1	5	0	0.00	30.152	0	0.000	-100000.0
20120429 01:55	42.5	42.5	42.5	44	22.1	1	5	315	0.00	30.152	0	0.000	-100000.0
20120429 02:00	42.2	42.2	42.2	45	22.4	1	4	315	0.00	30.151	0	0.001	-100000.0
20120429 02:05	41.9	41.9	41.9	45	22.1	0	3	315	0.00	30.151	0	0.000	-100000.0
20120429 02:10	41.7	41.7	41.7	45	21.9	0	3	315	0.00	30.151	0	0.000	-100000.0
20120429 02:15	41.6	41.6	41.6	45	21.9	0	3	315	0.00	30.145	0	0.000	-100000.0
20120429 02:20	41.7	41.7	41.7	44	21.4	1	5	315	0.00	30.145	0	0.000	-100000.0
20120429 02:25	41.8	41.8	41.8	44	21.5	0	4	315	0.00	30.145	0	0.000	-100000.0
20120429 02:30	41.8	41.8	41.8	44	21.5	0	1	315	0.00	30.142	0	0.000	-100000.0
20120429 02:35	41.6	41.6	41.6	45	21.9	0	2	315	0.00	30.142	0	0.000	-100000.0
20120429 02:40	41.2	41.2	41.2	45	21.5	1	4	315	0.00	30.142	0	0.000	-100000.0
20120429 02:45	41.3	41.3	41.3	44	21.0	0	3	315	0.00	30.141	0	0.000	-100000.0
20120429 02:50	41.5	41.5	41.5	44	21.2	0	1	315	0.00	30.141	0	0.000	-100000.0
20120429 02:55	41.4	41.4	41.4	46	22.2	0	1	315	0.00	30.141	0	0.000	-100000.0
20120429 03:00	41.5	41.5	41.5	45	21.8	0	0	-100000	0.00	30.139	0	0.001	-100000.0
20120429 03:05	41.2	41.2	41.2	46	22.0	0	0	-100000	0.00	30.139	0	0.000	-100000.0
20120429 03:10	40.9	40.9	40.9	45	21.2	0	0	-100000	0.00	30.139	0	0.000	-100000.0
20120429 03:15	40.7	40.7	40.7	44	20.5	0	1	315	0.00	30.140	0	0.000	-100000.0
20120429 03:20	40.5	40.5	40.5	45	20.8	0	0	-100000	0.00	30.140	0	0.000	-100000.0
20120429 03:25	40.3	40.3	40.3	46	21.2	0	0	-100000	0.00	30.140	0	0.000	-100000.0
20120429 03:30	40.2	40.2	40.2	46	21.1	0	1	315	0.00	30.146	0	0.000	-100000.0
20120429 03:35	40.2	40.2	40.2	45	20.6	0	1	315	0.00	30.146	0	0.000	-100000.0
20120429 03:40	40.4	40.4	40.4	45	20.8	0	0	-100000	0.00	30.146	0	0.000	-100000.0
20120429 03:45	40.5	40.5	40.5	44	20.3	0	0	-100000	0.00	30.143	0	0.000	-100000.0
20120429 03:50	40.4	40.4	40.4	44	20.2	0	2	315	0.00	30.143	0	0.000	-100000.0
20120429 03:55	40.4	40.4	40.4	44	20.2	0	2	315	0.00	30.143	0	0.000	-100000.0
20120429 04:00	40.4	40.4	40.4	43	19.7	0	1	315	0.00	30.148	0	0.001	-100000.0
20120429 04:05	40.4	40.4	40.4	43	19.7	0	1	315	0.00	30.148	0	0.000	-100000.0
20120429 04:10	40.2	40.2	40.2	44	20.0	0	0	-100000	0.00	30.148	0	0.000	-100000.0
20120429 04:15	40.0	40.0	40.0	45	20.4	0	1	315	0.00	30.150	0	0.000	-100000.0
20120429 04:20	39.7	39.7	39.7	46	20.6	0	2	315	0.00	30.150	0	0.000	-100000.0
20120429 04:25	38.8	38.8	38.8	51	22.2	0	2	315	0.00	30.150	0	0.000	-100000.0
20120429 04:30	38.0	38.0	38.0	52	22.0	0	1	315	0.00	30.151	0	0.000	-100000.0
20120429 04:35	37.7	37.7	37.7	49	20.3	0	1	315	0.00	30.151	0	0.000	-100000.0
20120429 04:40	37.6	37.6	37.6	50	20.7	0	0	-100000	0.00	30.151	0	0.000	-100000.0
20120429 04:45	37.4	37.4	37.4	52	21.4	0	1	315	0.00	30.154	0	0.000	-100000.0
20120429 04:50	37.0	37.0	37.0	55	22.4	0	1	315	0.00	30.154	0	0.000	-100000.0
20120429 04:55	36.5	36.5	36.5	59	23.6	0	0	-100000	0.00	30.154	0	0.000	-100000.0
20120429 05:00	35.9	35.9	35.9	62	24.2	0	0	-100000	0.00	30.154	0	0.001	-100000.0
20120429 05:05	35.3	35.3	35.3	63	24.0	0	0	-100000	0.00	30.154	0	0.000	-100000.0
